N	2gram	Vinokur_Ku_3	Stilisti
1	и в	23	42
2	как бы	5	27
3	не только	17	27
4	прежде всего	9	22
5	хотя бы	9	17
6	но и	3	15
7	то же	6	15
8	и не	10	14
9	может быть	14	12
10	не может	6	12
11	точки зрения	23	11
12	как и	5	11
13	и как	2	10
14	что мы	2	10
15	мы должны	3	10
16	отнюдь не	3	10
17	как мы	5	10
18	в этом	16	10
19	при этом	6	9
20	в то	3	9
21	то что	4	9
22	для того	12	9
23	мы не	3	9
24	все же	5	8
25	в ней	3	8
26	таким образом	9	8
27	с тем	6	8
28	что же	5	8
29	тем самым	4	8
30	эти слова	2	8
31	зависимости от	8	7
32	и тем	6	7
33	потому что	12	7
34	так как	9	7
35	в зависимости	7	7
36	слов и	5	7
37	было бы	16	7
38	а не	11	7
39	того чтобы	11	7
40	только в	6	7
41	ничего не	6	7
42	точку зрения	2	6
43	или иной	7	6
44	не в	5	6
45	язык и	2	6
46	когда мы	3	6
47	в процессе	3	6
48	так и	6	6
49	в области	14	6
50	слова в	4	5
51	уже в	3	5
52	независимо от	5	5
53	в нашем	7	5
54	тому что	4	5
55	мы видели	3	5
56	те же	7	5
57	с помощью	6	5
58	а в	5	5
59	и с	3	5
60	того или	3	5
61	как это	7	5
62	же мы	4	5
63	или иного	3	5
64	точек зрения	2	5
65	в его	11	5
66	вместе с	2	5
67	в той	4	5
68	с точки	16	5
69	той же	3	5
70	слова и	7	5
71	что это	3	4
72	и без	2	4
73	мы называем	2	4
74	не просто	2	4
75	что именно	3	4
76	можно сказать	2	4
77	к тому	3	4
78	но все	2	4
79	в качестве	2	4
80	в самом	13	4
81	той или	5	4
82	точка зрения	4	4
83	один из	4	4
84	все это	2	4
85	языка и	2	4
86	того что	11	4
87	так же	2	4
88	о том	6	4
89	его в	2	4
90	но в	2	4
91	если бы	8	4
92	были бы	4	4
93	и к	3	4
94	у нас	10	4
95	на него	3	4
96	а с	3	4
97	если мы	7	4
98	уже не	8	4
99	самом деле	14	4
100	и пр	3	4
101	тем же	2	4
102	в слове	4	4
103	можно было	11	4
104	вопроса о	3	4
105	так сказать	2	4
106	или иное	2	3
107	язык не	2	3
108	это не	3	3
109	главным образом	2	3
110	этом случае	4	3
111	как таковой	2	3
112	для нас	4	3
113	но для	3	3
114	хотя и	5	3
115	в котором	2	3
116	в целом	4	3
117	от того	5	3
118	и вот	3	3
119	лишь в	8	3
120	не так	3	3
121	сказать что	7	3
122	и здесь	2	3
123	ни на	2	3
124	в виду	8	3
125	то он	3	3
126	в одном	2	3
127	этого слова	4	3
128	в ее	4	3
129	том что	11	3
130	в тех	2	3
131	еще не	9	3
132	в данной	3	3
133	конечно не	2	3
134	что и	6	3
135	слова как	2	3
136	связь между	3	3
137	на самом	3	3
138	что такое	4	3
139	то или	2	3
140	то мы	3	3
141	связи с	6	3
142	не знает	2	3
143	бы и	3	2
144	в частности	2	2
145	в какой	3	2
146	вопрос о	11	2
147	в том	22	2
148	тому же	3	2
149	тот или	2	2
150	но это	5	2
151	из всего	2	2
152	иными словами	8	2
153	очевидно что	3	2
154	случай когда	2	2
155	в пределах	2	2
156	но мы	2	2
157	не с	2	2
158	в этих	2	2
159	отношение к	3	2
160	не говоря	2	2
161	о них	4	2
162	к нашей	2	2
163	целый ряд	4	2
164	как например	2	2
165	в связи	5	2
166	и содержание	3	2
167	в отношении	3	2
168	не было	4	2
169	еще и	2	2
170	все эти	7	2
171	к рассмотрению	2	2
172	должно быть	7	2
173	в которых	3	2
174	также и	5	2
175	что эти	2	2
176	решительно ничего	3	2
177	мы имеем	2	2
178	я и	3	2
179	речи но	3	2
180	смысле этого	2	2
181	однако в	2	2
182	иной смысл	3	2
183	ясно что	4	2
184	что он	6	2
185	есть не	3	2
186	материал для	2	2
187	слово это	2	2
188	только тогда	4	2
189	ответить на	2	2
190	и при	2	2
191	но не	3	2
192	по своему	2	2
193	равно как	2	2
194	тот же	6	2
195	не есть	3	2
196	зрения на	3	2
197	в своей	4	2
198	сих пор	8	2
199	как в	4	2
200	здесь не	2	2
201	бы не	3	2
202	мы найдем	2	2
203	перейти к	2	2
204	немедленно же	2	2
205	в дальнейшем	2	2
206	этот вопрос	3	2
207	в языке	7	2
208	тем что	5	2
209	в каком	3	2
210	этих слов	3	2
211	которые в	4	2
212	говорить и	3	2
