N	2gram	Potebnia_M_4	Morfolog
1	может быть	26	52
2	и т	7	49
3	т д	3	47
4	таким образом	24	20
5	не может	11	17
6	в этих	3	16
7	могут быть	7	15
8	с этим	7	14
9	этих случаях	2	14
10	и в	23	13
11	в этом	23	13
12	и др	2	12
13	так как	14	12
14	мы видим	2	11
15	связи с	3	11
16	заметить что	6	10
17	не всегда	3	9
18	этом случае	5	9
19	так и	6	9
20	то же	14	9
21	и не	18	9
22	а не	12	9
23	мы имеем	4	9
24	с другой	2	8
25	что и	7	8
26	при помощи	3	8
27	вопрос о	2	7
28	в лес	6	7
29	это не	7	6
30	не могут	2	6
31	и здесь	2	6
32	в том	23	6
33	а в	5	6
34	во время	2	6
35	подобно тому	2	6
36	не менее	5	5
37	тому как	2	5
38	если мы	2	5
39	в образе	2	5
40	как бы	5	5
41	один из	2	5
42	то что	29	5
43	образом мы	3	5
44	потому что	33	5
45	мы не	8	5
46	что в	17	4
47	и как	2	4
48	на котором	4	4
49	вовсе не	7	4
50	об этом	2	4
51	что его	2	4
52	тем не	4	4
53	отношению к	8	4
54	было бы	8	4
55	на его	3	4
56	не только	10	4
57	то это	8	4
58	как в	7	4
59	как мы	2	4
60	так же	4	4
61	по отношению	10	4
62	как и	14	4
63	там где	3	4
64	то мы	3	4
65	хотя и	5	4
66	тем что	10	4
67	точки зрения	4	4
68	с точки	3	4
69	видно что	4	4
70	его в	4	4
71	а если	2	4
72	в других	2	4
73	только что	3	3
74	независимо от	6	3
75	если бы	13	3
76	в нашем	2	3
77	том что	12	3
78	но это	3	3
79	кроме того	3	3
80	того чтобы	4	3
81	в сущности	2	3
82	он не	2	3
83	и другим	3	3
84	в первом	3	3
85	но и	11	3
86	от того	4	3
87	на самом	3	3
88	требует чтобы	2	3
89	заметим что	3	3
90	самом деле	3	3
91	из которых	2	3
92	и по	3	3
93	к нему	5	3
94	и для	2	3
95	друг друга	2	3
96	можно назвать	2	3
97	мы можем	10	3
98	в то	4	3
99	быть названо	4	3
100	мы должны	2	3
101	если же	4	3
102	но в	8	3
103	ни к	2	2
104	можно сравнить	2	2
105	и более	4	2
106	с тем	7	2
107	в виде	2	2
108	хотя бы	4	2
109	точно так	2	2
110	состоит в	2	2
111	что он	4	2
112	в различных	2	2
113	можно сказать	4	2
114	и к	6	2
115	не с	2	2
116	в нее	3	2
117	то в	3	2
118	и при	2	2
119	только в	15	2
120	от него	2	2
121	что до	2	2
122	тем и	6	2
123	в большинстве	2	2
124	есть и	2	2
125	для него	5	2
126	но есть	4	2
127	не от	3	2
128	мы уже	3	2
129	никто не	2	2
130	во сне	2	2
131	не значит	2	2
132	в таких	2	2
133	оно не	2	2
134	не существует	2	2
135	быть и	2	2
136	есть нечто	5	2
137	и таким	3	2
138	и только	3	2
139	относятся к	2	2
140	все эти	3	2
141	и что	7	2
142	того что	14	2
143	для того	6	2
144	что такое	7	2
145	уже не	3	2
146	не имеет	5	2
147	и его	2	2
148	можно было	2	2
149	в отдельных	2	2
150	в каком	4	2
151	этот вопрос	3	2
152	что мы	10	2
153	о том	8	2
154	что эти	3	2
155	большинстве случаев	2	2
156	сказать что	8	2
157	бы они	2	2
158	это было	2	2
