N	2gram	Ircho_Kome_1	VerxiiNi
1	и в	22	26
2	таким образом	8	22
3	вместе с	2	15
4	в этом	3	15
5	точки зрения	4	13
6	в том	11	11
7	после смерти	3	10
8	может быть	9	10
9	не только	10	10
10	и с	3	10
11	что в	6	9
12	но и	11	9
13	в области	2	9
14	так как	4	9
15	с другой	5	8
16	главным образом	3	8
17	но не	2	8
18	и не	8	8
19	и у	3	8
20	связанные с	2	7
21	том что	12	7
22	одной стороны	3	7
23	из них	10	7
24	к нему	2	7
25	то что	2	7
26	с одной	3	7
27	потому что	5	7
28	но в	4	7
29	в конце	6	6
30	к тому	6	6
31	того же	2	6
32	несмотря на	4	6
33	всяком случае	2	6
34	что и	4	6
35	все же	3	6
36	так и	5	6
37	все это	5	6
38	в отношении	6	6
39	во всяком	2	6
40	в себе	2	6
41	о том	8	6
42	образом в	2	5
43	тому же	6	5
44	отношение к	3	5
45	до сих	2	5
46	одной из	3	5
47	в его	5	5
48	сих пор	2	5
49	или менее	2	5
50	так же	3	5
51	в силу	2	5
52	что он	6	4
53	в нем	4	4
54	из которых	2	4
55	в самом	2	4
56	в котором	4	4
57	не может	2	4
58	а в	6	4
59	то же	6	4
60	в течение	3	4
61	и по	6	4
62	во время	5	4
63	в виде	3	4
64	он не	3	4
65	в то	10	4
66	только в	3	4
67	в этой	7	4
68	не менее	3	3
69	в рамках	2	3
70	же как	3	3
71	к этому	4	3
72	ясно что	4	3
73	и как	3	3
74	из всех	2	3
75	в качестве	4	3
76	большей частью	2	3
77	и о	3	3
78	в народном	5	3
79	тем не	2	3
80	отношению к	3	3
81	к сожалению	2	3
82	при этом	5	3
83	путь к	2	3
84	и даже	5	3
85	в которой	6	3
86	в результате	4	3
87	и таким	2	3
88	конце концов	4	3
89	в других	2	3
90	в одном	8	3
91	уже в	5	2
92	ни было	2	2
93	именно в	4	2
94	в них	3	2
95	и особенно	4	2
96	и мир	2	2
97	в образе	3	2
98	на все	2	2
99	прежде всего	5	2
100	в свою	2	2
101	на то	3	2
102	от них	2	2
103	а также	4	2
104	и здесь	2	2
105	то ни	2	2
106	мы видели	2	2
107	в начале	3	2
108	должна была	2	2
109	по своему	3	2
110	все что	2	2
111	же время	4	2
112	когда же	5	2
113	ли это	2	2
114	тот же	3	2
115	еще не	2	2
116	и из	2	2
117	вслед за	2	2
118	для всех	2	2
119	один из	5	2
120	бы то	2	2
121	не к	2	2
122	только что	2	2
123	для этого	2	2
124	этом отношении	3	2
125	быть даже	2	2
126	и на	3	2
127	не в	6	2
128	мы можем	4	2
129	по своей	2	2
130	или по	2	2
131	же самое	2	2
132	и все	3	2
133	относится к	2	2
134	к которому	3	2
135	между тем	5	2
