N	2gram	Bakhtin_Pr_2	VerxiiNi
1	и в	45	26
2	таким образом	11	22
3	в этом	20	15
4	точки зрения	19	13
5	как бы	15	12
6	в том	8	11
7	может быть	18	10
8	не только	16	10
9	и с	7	10
10	что в	6	9
11	но и	15	9
12	в области	2	9
13	так как	5	9
14	но не	6	8
15	и не	42	8
16	и у	2	8
17	как на	2	8
18	том что	7	7
19	но все	4	7
20	из них	9	7
21	к нему	11	7
22	то что	5	7
23	а с	3	7
24	потому что	8	7
25	но в	6	7
26	в конце	4	6
27	представление о	2	6
28	и потому	6	6
29	что и	5	6
30	все же	4	6
31	так и	3	6
32	все это	5	6
33	все эти	4	6
34	с точки	9	6
35	в себе	5	6
36	мы должны	4	6
37	и т.д	3	6
38	о том	3	6
39	том числе	2	5
40	образом в	2	5
41	и к	2	5
42	крайней мере	2	5
43	отношение к	8	5
44	до сих	2	5
45	одной из	2	5
46	друг с	2	5
47	в его	22	5
48	никогда не	17	5
49	с другом	2	5
50	сих пор	2	5
51	так же	5	5
52	лишь в	2	5
53	а не	10	5
54	не имеет	3	5
55	и для	2	5
56	в мире	3	5
57	по крайней	2	5
58	в этих	4	4
59	и от	3	4
60	что все	3	4
61	что он	7	4
62	в нем	20	4
63	числе и	2	4
64	в смысле	2	4
65	из которых	2	4
66	в самом	13	4
67	в котором	7	4
68	не может	24	4
69	а в	3	4
70	то же	5	4
71	и что	2	4
72	и по	2	4
73	с другими	7	4
74	ничем не	2	4
75	он не	9	4
76	в то	5	4
77	только в	9	4
78	то есть	50	4
79	далеко не	4	4
80	не менее	2	3
81	за собой	2	3
82	же как	4	3
83	и другие	4	3
84	если бы	2	3
85	из которого	2	3
86	хотя бы	5	3
87	к этому	4	3
88	можно сказать	2	3
89	для него	9	3
90	так что	2	3
91	и как	2	3
92	в своем	5	3
93	и о	2	3
94	к ним	3	3
95	отношению к	8	3
96	при этом	2	3
97	но с	3	3
98	уже не	6	3
99	того что	3	3
100	и даже	3	3
101	в которой	2	3
102	всегда и	2	3
103	в таком	3	3
104	в результате	3	3
105	конце концов	3	3
106	в одном	6	3
107	русский народ	2	3
108	не исчерпывается	2	2
109	уже в	4	2
110	с его	8	2
111	именно в	3	2
112	перестает быть	3	2
113	в них	4	2
114	сравнению с	2	2
115	превращается в	4	2
116	только для	2	2
117	и особенно	2	2
118	не как	6	2
119	и мир	5	2
120	в образе	3	2
121	прежде всего	11	2
122	из своих	2	2
123	на то	2	2
124	или иной	3	2
125	от них	2	2
126	литературы мы	2	2
127	с идеей	2	2
128	и здесь	2	2
129	сознании и	2	2
130	положение в	2	2
131	мы видели	3	2
132	в начале	2	2
133	все что	3	2
134	же время	3	2
135	ни один	3	2
136	тот же	2	2
137	еще не	9	2
138	конечно не	6	2
139	той или	3	2
140	один из	2	2
141	жизни и	15	2
142	во всех	4	2
143	к другу	3	2
144	в процессе	2	2
145	связь с	2	2
146	по своим	2	2
147	только что	2	2
148	для этого	3	2
149	не было	2	2
150	если не	2	2
151	этом отношении	2	2
152	те же	2	2
153	мы имеем	2	2
154	этой точки	2	2
155	в самой	3	2
156	в другое	2	2
157	среди них	3	2
158	одним из	3	2
159	быть даже	2	2
160	с одним	2	2
161	и на	7	2
162	людей и	2	2
163	связан с	2	2
164	сказать что	5	2
165	не в	8	2
166	мы можем	4	2
167	по сравнению	2	2
168	ее с	3	2
169	ничего общего	2	2
170	так чтобы	2	2
171	которые в	2	2
172	относится к	2	2
173	не потому	2	2
174	и действительно	2	2
175	в виду	2	2
