N	3gram	Vygotskiy__7	Dialekti
1	с точки зрения	21	12
2	в том что	13	7
3	так как она	3	4
4	одно и то	3	4
5	на то что	4	4
6	и то же	3	4
7	потому что он	2	3
8	только потому что	3	3
9	можно сказать что	3	3
10	содержит в себе	3	3
11	не может быть	4	3
12	точки зрения самого	2	2
13	по сравнению с	7	2
14	к тому что	6	2
15	о том что	4	2
16	с одной стороны	5	2
17	одной стороны и	3	2
18	точно так же	2	2
19	содержат в себе	3	2
20	то и другое	3	2
21	в этом отношении	3	2
22	до сих пор	3	2
23	мы находим в	2	2
24	на самом деле	2	2
