N	2gram	Potebnia_M_1	VLabPisa
1	таким образом	13	27
2	в этом	15	26
3	и в	39	25
4	и т	6	24
5	не только	21	22
6	может быть	27	21
7	хотя бы	2	20
8	и не	18	19
9	не может	22	17
10	в его	5	15
11	т д	4	15
12	прежде всего	4	13
13	в том	26	13
14	с другой	7	11
15	не могут	4	10
16	о том	2	10
17	по этому	2	9
18	что в	22	9
19	для него	4	9
20	но и	20	9
21	то же	6	9
22	т п	4	9
23	на основании	2	8
24	в своем	3	8
25	другой стороны	5	8
26	могут быть	9	8
27	не следует	5	8
28	из этих	4	7
29	же в	2	7
30	как и	9	7
31	том что	16	7
32	было бы	12	7
33	отношению к	13	7
34	во всех	5	7
35	вместе с	8	7
36	по отношению	13	7
37	не было	4	7
38	а не	21	7
39	это не	7	6
40	в себе	13	6
41	то что	10	6
42	том же	2	6
43	в нем	20	6
44	так и	13	6
45	и его	5	6
46	между тем	5	6
47	в то	4	6
48	тому что	3	5
49	же время	4	5
50	все же	6	5
51	и при	3	5
52	очевидно что	3	5
53	связи с	3	5
54	и есть	2	5
55	одним из	2	5
56	как бы	6	5
57	в их	2	5
58	сказать что	3	5
59	только в	25	5
60	не в	15	5
61	к тому	4	4
62	в единстве	2	4
63	никогда не	4	4
64	их и	2	4
65	в одном	8	4
66	в целом	2	4
67	что все	3	4
68	в своей	3	4
69	них не	2	4
70	в самом	3	4
71	говорит следующее	2	4
72	в них	3	4
73	в этой	3	4
74	познания и	2	4
75	с тем	5	3
76	и как	6	3
77	даже и	2	3
78	и от	3	3
79	только что	2	3
80	в другую	2	3
81	у нас	2	3
82	мы видели	4	3
83	утверждает что	2	3
84	но как	3	3
85	или в	2	3
86	по поводу	3	3
87	с этим	7	3
88	что не	10	3
89	в виду	2	3
90	что и	6	3
91	жизни и	2	3
92	и их	3	3
93	этот вопрос	2	3
94	того что	8	3
95	и по	6	3
96	так же	5	3
97	в слове	8	3
98	никак не	2	3
99	как на	3	3
100	точки зрения	8	3
101	она не	3	3
102	явлений и	3	3
103	бы в	4	3
104	том как	3	3
105	не менее	6	2
106	в каждом	4	2
107	зависит от	5	2
108	только не	2	2
109	восприятия и	3	2
110	из себя	5	2
111	по крайней	2	2
112	в жизни	3	2
113	с нею	4	2
114	начнем с	3	2
115	вовсе не	5	2
116	а как	2	2
117	по себе	10	2
118	показывает что	3	2
119	стороны и	2	2
120	что при	5	2
121	о его	2	2
122	крайней мере	2	2
123	связанное с	2	2
124	и потому	5	2
125	но не	8	2
126	и слова	2	2
127	так например	3	2
128	из основных	2	2
129	еще не	6	2
130	одной стороны	3	2
131	и может	2	2
132	мысль о	2	2
133	для того	3	2
134	то это	5	2
135	если бы	14	2
136	что например	3	2
137	эти явления	3	2
138	ни одна	2	2
139	видеть в	2	2
140	на язык	7	2
141	к ним	2	2
142	в ней	7	2
143	относится к	3	2
144	и даже	4	2
145	лица и	2	2
146	что для	3	2
147	с а	2	2
148	при помощи	2	2
149	слова не	2	2
150	только то	2	2
151	после этого	2	2
152	не по	4	2
153	все они	2	2
154	от того	4	2
155	между прочим	2	2
156	бы не	6	2
157	а в	5	2
158	с одной	3	2
159	что оно	2	2
160	в течение	2	2
161	но с	2	2
162	одном и	2	2
163	чтобы не	2	2
164	заключается в	3	2
165	того чтобы	2	2
166	должны быть	7	2
167	само собою	2	2
168	и для	5	2
169	по его	7	2
170	чего бы	2	2
171	между собою	6	2
172	тому как	4	2
173	и том	2	2
174	в своих	4	2
175	и отдельные	2	2
176	во всяком	3	2
177	хотя и	3	2
178	он не	3	2
179	подобно тому	3	2
180	как например	2	2
181	самого себя	4	2
182	что даже	2	2
183	что мы	4	2
184	могут не	2	2
185	в которой	2	2
186	могло бы	3	2
187	тогда когда	9	2
188	в сознании	3	2
189	но в	9	2
