N	2gram	Losev_Vlad_2	Sovremen
1	не может	9	17
2	точки зрения	7	12
3	может быть	7	12
4	таким образом	3	11
5	мы не	2	9
6	в этом	20	7
7	и в	30	7
8	и не	18	6
9	как и	5	6
10	в результате	5	6
11	ничего не	2	6
12	что же	8	5
13	прежде всего	6	5
14	все эти	5	5
15	и наконец	4	5
16	с точки	3	5
17	как бы	5	4
18	мы видели	2	4
19	в целом	4	4
20	жизни и	6	4
21	вместе с	8	4
22	это не	2	4
23	а в	11	4
24	не только	12	4
25	же это	2	4
26	в том	18	4
27	в дальнейшем	5	4
28	их в	2	4
29	мы должны	4	4
30	так как	5	4
31	уже в	3	3
32	все же	9	3
33	все это	5	3
34	в конце	13	3
35	то же	4	3
36	в нем	4	3
37	а не	7	3
38	и к	6	3
39	для нас	7	3
40	у нас	6	3
41	когда мы	3	3
42	не в	9	3
43	в этой	4	3
44	при этом	5	3
45	было бы	9	3
46	и мы	4	3
47	и все	7	3
48	как он	2	3
49	в себе	6	3
50	в области	3	3
51	но в	8	3
52	и потому	2	3
53	в настоящее	2	2
54	что это	4	2
55	не менее	7	2
56	и есть	2	2
57	в виде	3	2
58	у него	19	2
59	можно назвать	2	2
60	на котором	2	2
61	и во	2	2
62	в отличие	3	2
63	из этих	3	2
64	еще более	3	2
65	как мы	11	2
66	уже не	3	2
67	в свою	3	2
68	№ с	5	2
69	и что	5	2
70	мы с	4	2
71	на этот	4	2
72	и даже	10	2
73	и по	2	2
74	тем не	6	2
75	мы знаем	4	2
76	той же	4	2
77	в таком	3	2
78	но все	2	2
79	во всяком	6	2
80	свою очередь	2	2
81	на этом	2	2
82	с этим	5	2
83	что в	12	2
84	настоящее время	2	2
85	тот же	5	2
86	которой он	2	2
87	это за	2	2
88	на его	4	2
89	такого рода	2	2
90	в самом	2	2
91	ее на	2	2
92	в которой	4	2
93	отличие от	3	2
94	в его	11	2
95	всяком случае	6	2
