N	2gram	Ircho_Kome_3	KFilosof
1	может быть	6	43
2	в его	8	39
3	в нем	3	31
4	не может	3	27
5	и не	21	26
6	по отношению	5	25
7	и в	22	22
8	в котором	2	21
9	отношению к	3	21
10	в себе	4	21
11	в ее	3	17
12	а не	4	17
13	и его	6	17
14	точки зрения	4	13
15	в этом	8	13
16	ни в	10	12
17	и это	2	12
18	в своей	5	11
19	не в	4	11
20	к нему	5	11
21	из себя	3	10
22	в своем	8	10
23	это не	2	10
24	все это	5	10
25	во всех	2	10
26	с точки	3	10
27	в целом	3	9
28	но и	4	9
29	в их	2	9
30	как бы	3	9
31	и все	2	9
32	и для	4	9
33	не было	2	8
34	если бы	8	8
35	было бы	3	8
36	со стороны	11	8
37	и здесь	4	7
38	вовсе не	4	7
39	конечно не	3	7
40	должен быть	2	7
41	что и	8	7
42	то что	4	7
43	и я	2	6
44	в том	12	6
45	отношение к	5	6
46	в мире	2	6
47	отнюдь не	4	6
48	совершенно не	2	6
49	он не	5	6
50	никогда не	3	5
51	хотя бы	4	5
52	то же	7	5
53	но все	4	5
54	не имеет	3	5
55	от своей	2	5
56	в основе	2	5
57	его в	8	5
58	с ним	5	5
59	но в	5	5
60	не знает	3	5
61	как и	3	5
62	не только	5	5
63	все же	4	5
64	что в	5	4
65	ни было	2	4
66	при этом	7	4
67	к ним	3	4
68	не по	7	4
69	отношению ко	2	4
70	в своих	2	4
71	между тем	2	4
72	в одном	2	4
73	нисколько не	3	4
74	не как	2	4
75	том что	13	4
76	только как	2	4
77	а в	7	4
78	не менее	5	3
79	из его	2	3
80	ближе к	2	3
81	в свою	7	3
82	не дает	4	3
83	до конца	4	3
84	в виду	2	3
85	был бы	2	3
86	здесь нет	4	3
87	от того	2	3
88	и на	2	3
89	людей и	2	3
90	в ней	4	3
91	в то	6	3
92	о том	8	3
93	мы не	2	3
94	ясно что	6	3
95	по своему	3	3
96	еще не	6	3
97	нет и	4	3
98	бы не	2	3
99	самом деле	6	3
100	для того	6	3
101	что не	3	3
102	тем что	5	3
103	в другом	2	3
104	здесь не	2	3
105	и этим	3	3
106	ничего не	3	3
107	то ни	3	2
108	прежде всего	5	2
109	тем не	3	2
110	же время	5	2
111	и мы	3	2
112	не о	3	2
113	себя и	2	2
114	тому что	2	2
115	все остальные	2	2
116	отказаться от	2	2
117	а по	5	2
118	потому что	10	2
119	он и	2	2
120	к себе	5	2
121	говорить о	3	2
122	а как	2	2
123	с его	3	2
124	с тем	4	2
125	что эта	2	2
126	к этому	6	2
127	что он	8	2
128	не будет	2	2
129	бы то	2	2
130	в качестве	2	2
131	тот же	2	2
132	и тот	3	2
133	бы он	3	2
134	дело не	2	2
135	так и	4	2
136	как в	2	2
137	дело с	3	2
138	если не	3	2
139	того чтобы	6	2
140	в этой	3	2
141	его на	2	2
142	едва ли	7	2
143	в области	2	2
