N	2gram	Medvedev_U_1	formyVre
1	и в	14	46
2	в этом	7	22
3	прежде всего	8	14
4	только в	2	11
5	не только	10	11
6	в том	2	10
7	но в	3	10
8	не в	2	9
9	но и	4	9
10	и не	8	9
11	и для	2	9
12	как и	3	8
13	в его	2	8
14	то же	5	8
15	всех этих	2	7
16	может быть	6	7
17	то что	7	7
18	все же	3	6
19	все это	5	6
20	и с	2	6
21	в частности	3	5
22	по существу	2	5
23	в то	3	5
24	но не	2	5
25	и у	2	5
26	же время	3	4
27	том что	2	4
28	конечно не	4	4
29	а не	10	4
30	в себе	2	4
31	о чем	2	3
32	все они	2	3
33	на первый	2	3
34	что он	2	3
35	для него	3	3
36	что и	2	3
37	таким образом	2	3
38	в их	4	3
39	тем что	2	3
40	же самое	2	3
41	с другой	4	2
42	это не	3	2
43	что все	2	2
44	по себе	2	2
45	у нас	3	2
46	в этой	4	2
47	перестает быть	5	2
48	было бы	3	2
49	сих пор	2	2
50	в некоторых	2	2
51	не может	7	2
52	и только	5	2
53	если не	2	2
54	этом отношении	2	2
55	но это	2	2
56	могут быть	2	2
57	в конце	2	2
58	до сих	2	2
