N	2gram	Ircho_Kome_2	Mirosoze
1	и в	26	46
2	в нем	6	22
3	у него	4	22
4	может быть	11	21
5	в этом	10	20
6	и не	14	18
7	не только	7	18
8	но и	10	15
9	не может	3	15
10	человека в	3	14
11	как и	4	13
12	прежде всего	4	12
13	друг друга	3	12
14	потому что	6	12
15	не было	3	11
16	в ней	3	11
17	но в	3	10
18	он не	2	10
19	он был	2	9
20	не в	2	9
21	и есть	2	8
22	как бы	2	8
23	в своем	6	8
24	в любви	2	8
25	так как	4	8
26	отношение к	2	8
27	в мире	2	7
28	в этой	3	7
29	в нашем	2	7
30	что он	5	7
31	и к	2	7
32	как в	3	7
33	хотя бы	2	7
34	и для	4	7
35	вопрос о	3	6
36	что это	4	6
37	и здесь	6	6
38	жизни и	3	6
39	то же	3	5
40	бы и	2	5
41	в самом	4	5
42	один из	5	5
43	что она	2	5
44	это не	2	5
45	в конце	2	5
46	и все	2	5
47	в духе	2	5
48	к тому	12	5
49	то что	6	5
50	в своей	3	5
51	для того	5	5
52	и его	12	5
53	в его	4	5
54	и это	2	5
55	что в	9	4
56	тому что	4	4
57	что у	4	4
58	не имеет	3	4
59	с его	5	4
60	том что	9	4
61	что и	7	4
62	себя в	3	4
63	так и	12	4
64	того чтобы	6	4
65	и от	4	3
66	в каждом	3	3
67	в образе	3	3
68	ни в	5	3
69	в том	11	3
70	не для	2	3
71	и на	7	3
72	и с	5	3
73	о том	6	3
74	его в	4	3
75	как он	3	3
76	стали бы	2	3
77	если бы	9	3
78	в них	4	3
79	и во	2	3
80	с которым	2	3
81	до сих	2	3
82	человеку и	2	3
83	сих пор	2	3
84	от того	2	3
85	того как	3	3
86	той же	3	3
87	тем что	3	3
88	только в	4	3
89	место в	4	2
90	уже в	4	2
91	в этих	4	2
92	не всегда	2	2
93	все время	2	2
94	да и	3	2
95	так что	5	2
96	в действительности	2	2
97	и если	2	2
98	хотя и	4	2
99	к нему	3	2
100	и за	2	2
101	по отношению	3	2
102	а в	3	2
103	точки зрения	4	2
104	бы в	2	2
105	между тем	4	2
106	на этом	2	2
107	с собой	2	2
108	интерес к	3	2
109	связи с	3	2
110	чем в	2	2
111	после того	2	2
112	и что	2	2
113	тот же	2	2
114	во всех	3	2
115	еще в	4	2
116	отношению к	3	2
117	вместе с	9	2
118	еще более	2	2
119	более чем	4	2
120	можно было	4	2
121	свою вину	2	2
122	от этого	2	2
123	как будто	4	2
124	которые в	2	2
125	в которой	5	2
126	и поэтому	3	2
