N	2gram	Vygotskiy__1	Marksizm
1	точки зрения	26	34
2	может быть	14	26
3	и не	9	26
4	не может	12	24
5	с точки	18	20
6	и в	23	19
7	и его	6	19
8	таким образом	26	17
9	в этом	17	16
10	как бы	11	15
11	в процессе	8	14
12	прежде всего	10	13
13	как мы	5	13
14	как и	14	12
15	и пр	2	12
16	так и	5	11
17	если мы	2	11
18	связи с	3	11
19	в самом	7	10
20	в слове	2	10
21	самом деле	3	10
22	для него	2	9
23	лишь в	6	9
24	в результате	4	9
25	внутренняя речь	4	9
26	внутренней речи	9	9
27	только в	6	9
28	при этом	4	8
29	но и	14	8
30	до сих	4	8
31	не только	16	8
32	все же	3	8
33	то что	17	8
34	сих пор	4	8
35	все эти	4	7
36	так же	16	7
37	и те	2	7
38	но в	5	7
39	в ее	2	7
40	во всех	3	7
41	то же	8	7
42	а не	3	7
43	слова как	2	7
44	с помощью	13	6
45	в смысле	2	6
46	в том	24	6
47	другой стороны	9	6
48	в его	14	6
49	мы не	7	6
50	ничего не	3	6
51	с другой	10	5
52	в конце	2	5
53	именно в	6	5
54	не в	4	5
55	общения и	3	5
56	и потому	2	5
57	и все	5	5
58	к этому	4	5
59	вовсе не	3	5
60	за пределы	2	5
61	связи между	3	5
62	того чтобы	17	5
63	хотя бы	4	5
64	этот вопрос	3	5
65	во всяком	3	5
66	ясно что	2	5
67	самого начала	8	4
68	что в	14	4
69	в отношении	10	4
70	вопрос о	7	4
71	с самого	8	4
72	не является	9	4
73	от того	6	4
74	этой проблемы	8	4
75	не столько	4	4
76	а в	2	4
77	и на	8	4
78	сказать что	11	4
79	с этим	6	4
80	по себе	5	4
81	было бы	4	4
82	как в	4	4
83	мысли и	6	4
84	для того	15	4
85	между ними	2	4
86	в данном	2	4
87	психологии в	2	4
88	психической жизни	3	4
89	этом отношении	4	3
90	в какой	5	3
91	и от	3	3
92	одного из	3	3
93	можно сказать	5	3
94	из основных	3	3
95	и как	5	3
96	высшей степени	4	3
97	же время	2	3
98	в котором	4	3
99	все это	6	3
100	по отношению	7	3
101	того что	15	3
102	не имеет	2	3
103	с другими	2	3
104	между тем	9	3
105	нуждается в	2	3
106	в то	7	3
107	же самое	3	3
108	в высшей	4	3
109	сознания и	3	3
110	смысле этого	3	3
111	он может	2	3
112	в каком	3	3
113	и к	4	3
114	том что	21	3
115	и при	2	3
116	мы должны	5	3
117	в сущности	6	3
118	мы говорили	3	3
119	он не	5	3
120	в первом	2	3
121	в своей	4	3
122	целый ряд	4	3
123	и следовательно	3	3
124	на этот	3	3
125	речи в	14	3
126	к этим	2	3
127	но все	2	3
128	нашей работы	8	3
129	речи и	28	3
130	между двумя	2	3
131	работы мы	2	3
132	и ее	7	3
133	слова и	5	3
134	и это	3	3
135	в которой	3	3
136	в области	3	3
137	между логикой	2	2
138	же как	6	2
139	независимо от	6	2
140	в частности	2	2
141	никогда не	2	2
142	тому что	5	2
143	в своем	3	2
144	точку зрения	2	2
145	что все	4	2
146	первый план	2	2
147	одной и	2	2
148	словом и	2	2
149	ни в	4	2
150	как если	2	2
151	его значение	2	2
152	свою очередь	3	2
153	в свою	4	2
154	и логикой	2	2
155	из важнейших	2	2
156	к проблеме	2	2
157	и той	2	2
158	для всех	4	2
159	всяком случае	3	2
160	себе и	2	2
161	в нашем	2	2
162	жизни и	2	2
163	всех остальных	3	2
164	это положение	4	2
165	мысль и	3	2
166	и других	3	2
167	целом ряде	2	2
168	между этими	6	2
169	наша работа	2	2
170	и даже	2	2
171	речь и	2	2
172	должно быть	2	2
173	можно было	3	2
174	все остальные	4	2
175	в своих	5	2
176	с этой	6	2
177	говорит он	15	2
178	в одной	3	2
179	одну из	4	2
180	из этих	3	2
181	к его	2	2
182	этом вопросе	4	2
183	о том	6	2
184	как он	3	2
185	эта мысль	2	2
186	так как	7	2
187	бы в	5	2
188	мысли в	5	2
189	и с	9	2
190	от этого	2	2
191	в основе	8	2
192	значения слова	3	2
193	к единству	4	2
194	и более	5	2
195	по мере	4	2
196	если бы	5	2
197	между собой	5	2
198	что он	7	2
199	в себе	6	2
200	выразительных движений	2	2
201	зависимости от	2	2
202	в качестве	9	2
203	она не	3	2
204	к тому	4	2
205	на первый	2	2
206	этого слова	4	2
207	не могло	3	2
208	отношению к	7	2
209	не остается	3	2
210	бы и	2	2
211	и речи	38	2
212	как раз	4	2
213	в двух	2	2
214	речи как	8	2
215	из которых	3	2
216	той же	2	2
217	связана с	2	2
218	мы можем	6	2
219	тем что	6	2
220	могут быть	3	2
221	в другом	7	2
222	и т.д	5	2
223	из этого	5	2
224	этими двумя	2	2
225	там где	2	2
226	в чем	4	2
