N	2gram	Berdyaev_N_1	slovoVRo
1	и в	16	41
2	в нем	5	30
3	могут быть	2	19
4	во всех	3	17
5	но и	3	16
6	и не	11	16
7	не только	5	16
8	а не	17	15
9	может быть	7	14
10	не может	16	14
11	и на	2	14
12	в то	2	14
13	в этом	7	12
14	так и	2	11
15	все эти	2	9
16	себя в	2	9
17	прежде всего	4	8
18	но в	2	8
19	как в	3	8
20	все они	2	7
21	не в	6	7
22	в своей	3	7
23	это не	4	6
24	и даже	2	6
25	а в	2	6
26	в них	4	6
27	с другой	3	5
28	все это	5	5
29	в основе	3	5
30	и к	5	5
31	и от	2	4
32	одной стороны	2	4
33	в ней	5	4
34	с ее	5	4
35	за пределы	3	4
36	с одной	2	4
37	лишь в	6	4
38	и формы	2	4
39	и с	2	4
40	и все	4	4
41	с его	6	4
42	как и	7	4
43	в смысле	2	4
44	еще не	3	4
45	и потому	4	4
46	другой стороны	2	4
47	и для	4	4
48	все время	2	3
49	никогда не	6	3
50	хотя бы	2	3
51	формы и	2	3
52	к тому	3	3
53	всех сферах	3	3
54	в том	8	3
55	не было	4	3
56	в истории	3	3
57	о том	4	3
58	у него	2	3
59	с этим	2	3
60	в себе	2	3
61	по существу	2	3
62	она не	3	3
63	конечно не	3	3
64	он не	8	3
65	связана с	2	2
66	же как	2	2
67	что все	2	2
68	том и	2	2
69	смысле слова	3	2
70	такого рода	2	2
71	хотя и	2	2
72	xviii века	2	2
73	не могла	2	2
74	уже не	2	2
75	должно быть	4	2
76	так же	2	2
77	время как	2	2
78	сказать что	3	2
79	потому что	4	2
80	от всякого	2	2
81	перестает быть	4	2
82	в духе	3	2
83	том что	2	2
84	одна из	2	2
85	но не	2	2
86	по своему	4	2
87	в ее	3	2
88	не есть	3	2
89	эпохи и	4	2
90	роль в	2	2
91	мы не	2	2
92	все категории	2	2
93	можно было	2	2
94	на протяжении	2	2
