N	2gram	Voloshinov_2	StatiiOP
1	и в	19	29
2	том что	10	27
3	в том	7	27
4	в этом	15	21
5	но и	10	19
6	что в	2	19
7	не только	13	19
8	о том	3	17
9	что он	4	13
10	в его	5	13
11	то что	4	11
12	к тому	6	10
13	таким образом	14	10
14	в своем	2	9
15	так и	10	9
16	и не	19	9
17	как на	2	9
18	он не	3	9
19	и пр	25	8
20	как раз	4	8
21	но в	7	8
22	в самом	6	7
23	в ней	3	7
24	в котором	3	7
25	в своей	3	7
26	вместе с	2	7
27	тому что	4	7
28	для того	6	7
29	вовсе не	11	6
30	вопрос о	2	6
31	до сих	3	6
32	одним из	2	6
33	все же	5	6
34	того чтобы	6	6
35	и его	16	6
36	и на	5	6
37	о чем	2	5
38	прежде всего	7	5
39	в той	5	5
40	в качестве	3	5
41	было бы	4	5
42	как бы	19	5
43	сих пор	3	5
44	в языке	7	5
45	а не	9	5
46	того что	4	5
47	между тем	6	5
48	точки зрения	17	5
49	а как	4	4
50	именно в	2	4
51	с другой	3	4
52	к этому	5	4
53	не в	10	4
54	для него	9	4
55	если б	3	4
56	и о	2	4
57	в нем	11	4
58	еще более	2	4
59	в речи	2	4
60	ничего не	4	4
61	в другом	3	4
62	связи с	13	4
63	и с	2	4
64	самого начала	5	3
65	что это	2	3
66	в этих	3	3
67	не является	8	3
68	с этим	3	3
69	по себе	3	3
70	ни в	6	3
71	тому же	2	3
72	у нас	3	3
73	в начале	2	3
74	но не	2	3
75	до конца	2	3
76	одной из	3	3
77	и именно	2	3
78	никогда не	7	3
79	и даже	2	3
80	всяком случае	2	3
81	самом деле	9	3
82	в их	5	3
83	а с	2	3
84	не было	3	3
85	тем что	2	3
86	с самого	5	3
87	на самом	7	3
88	и он	2	3
89	хотя бы	6	3
90	так же	5	3
91	во всяком	3	3
92	и здесь	5	3
93	отношении к	5	3
94	xix века	2	3
95	в отношении	4	2
96	но они	2	2
97	с его	8	2
98	ни было	6	2
99	и более	7	2
100	если бы	11	2
101	ближайшим образом	2	2
102	в какой	3	2
103	в одной	2	2
104	связь с	4	2
105	конечно в	3	2
106	в тех	2	2
107	выражение в	5	2
108	что и	3	2
109	он был	2	2
110	в ее	3	2
111	нас не	2	2
112	как и	9	2
113	то ни	5	2
114	и как	6	2
115	в этой	3	2
116	что они	2	2
117	в истории	3	2
118	в то	8	2
119	может быть	28	2
120	значительной степени	2	2
121	тем же	4	2
122	и потому	2	2
123	на то	4	2
124	на почве	9	2
125	только в	8	2
126	бы то	4	2
127	не к	3	2
128	в процессе	18	2
129	или менее	2	2
130	и речи	2	2
131	только что	3	2
132	совершенно не	5	2
133	не на	2	2
134	не может	18	2
135	в особенности	2	2
136	то же	16	2
137	все эти	3	2
138	при этом	9	2
139	там где	2	2
140	в отличие	3	2
141	они не	2	2
142	более или	2	2
143	в значительной	2	2
144	не имеет	3	2
145	с точки	13	2
146	французском языке	3	2
147	в данном	5	2
148	конечно и	2	2
149	сказать что	4	2
150	языка в	3	2
151	в каком	3	2
152	в себе	4	2
153	его в	7	2
154	и это	3	2
155	так как	3	2
156	только с	2	2
157	в устах	3	2
158	того же	5	2
159	отличие от	3	2
160	это было	2	2
