N	2gram	Propp_Russ_1	SlovoVZh
1	не может	4	16
2	точки зрения	3	14
3	может быть	8	14
4	как бы	5	13
5	таким образом	6	12
6	и в	36	12
7	в нашем	2	11
8	и не	6	10
9	так как	15	9
10	для нас	6	7
11	в нем	2	6
12	при этом	6	6
13	в том	17	6
14	только в	4	6
15	в ней	2	6
16	и др	4	5
17	в жизни	2	5
18	то что	6	5
19	а не	2	5
20	то же	3	5
21	как и	10	5
22	том что	19	5
23	отнюдь не	2	5
24	как в	5	5
25	но в	2	5
26	и к	3	4
27	все же	5	4
28	к материалу	2	4
29	так и	7	4
30	на самом	2	4
31	уже не	6	4
32	в этом	12	4
33	и на	10	4
34	не только	22	4
35	в них	6	3
36	и более	2	3
37	не менее	3	3
38	когда он	2	3
39	в некоторых	4	3
40	быть и	2	3
41	все это	6	3
42	и по	8	3
43	все эти	2	3
44	так называемой	3	3
45	но и	16	3
46	и пр	2	3
47	того что	4	3
48	тем не	3	3
49	так же	3	3
50	мы не	6	3
51	и с	2	3
52	о том	8	3
53	еще не	4	3
54	только на	3	3
55	и для	2	3
56	с ним	2	3
57	между тем	7	3
58	какой степени	2	2
59	что и	7	2
60	в настоящее	3	2
61	независимо от	2	2
62	но все	3	2
63	что в	19	2
64	на все	2	2
65	как не	2	2
66	вместе с	10	2
67	себя и	2	2
68	значения и	2	2
69	в этих	3	2
70	весны и	2	2
71	между собой	2	2
72	в своем	3	2
73	в какой	2	2
74	окно и	3	2
75	это не	10	2
76	мы имеем	4	2
77	и другие	13	2
78	в особенности	2	2
79	к этому	4	2
80	его к	2	2
81	и что	4	2
82	с точки	3	2
83	и здесь	2	2
84	его как	2	2
85	и те	3	2
86	но это	4	2
87	такой же	2	2
88	мы можем	2	2
89	но не	2	2
90	могут быть	2	2
91	но тем	2	2
92	но что	2	2
93	до конца	2	2
94	она не	2	2
95	настоящее время	3	2
96	к слову	2	2
97	имеет место	2	2
98	как уже	4	2
99	там где	2	2
100	как это	8	2
101	к ним	3	2
102	ничего не	3	2
103	в основном	3	2
104	в его	2	2
105	и потому	2	2
