N	2gram	Tiupa_Narr_1	Vvedenie
1	и в	11	32
2	в том	8	31
3	в этом	12	30
4	может быть	15	26
5	том что	7	26
6	не только	31	22
7	для того	3	21
8	того чтобы	4	20
9	также и	3	18
10	то что	9	16
11	потому что	5	15
12	не может	8	14
13	в самом	6	13
14	в нем	4	13
15	о том	4	13
16	со стороны	8	13
17	того что	4	12
18	и не	23	12
19	представляет собой	8	12
20	в его	6	12
21	только в	12	12
22	как мы	2	11
23	в данном	11	11
24	что в	3	10
25	но в	7	9
26	и как	3	9
27	между тем	3	9
28	по себе	4	9
29	то же	8	9
30	в той	2	9
31	не менее	3	8
32	с другой	2	8
33	это не	3	8
34	тем не	3	8
35	не в	6	8
36	именно в	3	8
37	прежде всего	4	7
38	точки зрения	5	7
39	но не	4	7
40	все же	4	7
41	дело с	2	7
42	самом деле	3	7
43	из этих	4	6
44	до сих	2	6
45	же время	4	6
46	один из	6	6
47	но и	27	6
48	и даже	2	6
49	в то	4	6
50	как и	13	6
51	в качестве	14	6
52	сих пор	2	6
53	хотя бы	2	6
54	и его	10	6
55	как бы	6	5
56	и тем	4	5
57	в целом	3	5
58	данном случае	8	5
59	другой стороны	2	5
60	сказать что	2	5
61	об этом	6	5
62	по своему	2	5
63	вместе с	2	5
64	а не	13	5
65	что не	2	5
66	представляют собой	3	5
67	язык как	2	4
68	времени и	9	4
69	о чем	4	4
70	всяком случае	2	4
71	по мере	2	4
72	в тексте	13	4
73	по отношению	3	4
74	в особенности	2	4
75	этом отношении	3	4
76	не имеет	2	4
77	а в	13	4
78	в первом	4	4
79	как это	3	4
80	мы имеем	3	4
81	как она	2	4
82	что он	3	4
83	еще не	4	4
84	отношению к	3	4
85	в своей	5	4
86	только что	2	4
87	внимание на	4	4
88	как раз	6	4
89	уже не	8	4
90	и для	2	4
91	и то	3	4
92	во всяком	2	4
93	и ее	3	4
94	в себе	6	4
95	и т.д	6	4
96	он сам	3	3
97	зависит от	2	3
98	в частности	14	3
99	в этих	2	3
100	в конце	2	3
101	можно сказать	5	3
102	к тому	6	3
103	что может	2	3
104	да и	2	3
105	в этой	6	3
106	большей или	2	3
107	до конца	2	3
108	при этом	19	3
109	такого рода	10	3
110	известном смысле	2	3
111	хотя и	4	3
112	в ней	4	3
113	в конечном	3	3
114	не вполне	2	3
115	из наиболее	4	3
116	к нему	4	3
117	из них	4	3
118	дело не	2	3
119	в своем	3	3
120	и вот	2	3
121	и на	5	3
122	в результате	2	3
123	в начале	3	3
124	в известном	2	3
125	если бы	7	3
126	однако в	3	3
127	связи с	2	3
128	в чем	2	3
129	в одном	4	3
130	в сущности	2	3
131	а также	6	3
132	дело в	2	3
133	своего рода	10	3
134	может служить	3	3
135	времени в	2	3
136	в центре	3	3
137	как будто	3	3
138	в области	2	3
139	казалось бы	2	2
140	это уже	3	2
141	никогда не	4	2
142	или иной	4	2
143	но зато	2	2
144	соответствии с	4	2
145	тем или	2	2
146	истории в	4	2
147	жизни как	2	2
148	нами не	2	2
149	в форме	2	2
150	в связи	2	2
151	не было	3	2
152	о них	3	2
153	во втором	6	2
154	не мог	6	2
155	в принципе	4	2
156	каждый из	2	2
157	и с	3	2
158	он и	2	2
159	той или	5	2
160	же самое	2	2
161	так и	5	2
162	могло бы	3	2
163	не существует	3	2
164	истории не	3	2
165	этого не	2	2
166	для них	2	2
167	состоит в	10	2
168	большей части	3	2
169	центре внимания	2	2
170	так называемая	2	2
171	у нас	3	2
172	в соответствии	5	2
173	что мы	2	2
174	или иным	2	2
175	жизни и	6	2
176	быть и	2	2
177	и сама	2	2
178	только на	2	2
179	и тогда	2	2
180	входит в	2	2
181	тогда как	10	2
182	между ними	2	2
183	мы не	3	2
184	тому как	3	2
185	мы можем	2	2
186	подобно тому	3	2
187	еще раз	3	2
188	на протяжении	7	2
189	здесь не	2	2
190	она была	2	2
191	одна из	4	2
192	ничего не	2	2
