N	2gram	Tiupa_Lite_1	Istorich
1	и в	8	24
2	что он	5	21
3	не только	24	21
4	может быть	13	14
5	не может	5	14
6	что в	3	13
7	как в	5	12
8	в этом	12	12
9	но и	17	11
10	это не	4	10
11	у него	3	10
12	том что	14	10
13	а в	3	10
14	с другой	3	9
15	не в	8	9
16	все же	4	9
17	о том	2	9
18	потому что	3	9
19	еще не	4	8
20	то же	5	8
21	а не	16	8
22	с собой	4	7
23	один из	3	7
24	в том	16	7
25	одна из	3	7
26	то что	10	7
27	таким образом	3	7
28	тем что	2	6
29	с этой	5	6
30	как и	6	6
31	но не	4	6
32	в нем	2	6
33	того что	6	6
34	только в	8	6
35	как он	2	6
36	не менее	7	5
37	одной стороны	2	5
38	то это	2	5
39	дело не	2	5
40	так и	4	5
41	с одной	2	5
42	в русской	10	5
43	но в	3	5
44	никогда не	4	4
45	тем не	2	4
46	представляет собой	4	4
47	при этом	19	4
48	своего рода	11	4
49	как бы	7	4
50	в их	3	4
51	то и	2	4
52	и не	12	4
53	точки зрения	6	4
54	в данном	5	4
55	уже в	5	3
56	с его	5	3
57	не столько	5	3
58	обращается к	2	3
59	в качестве	17	3
60	превращается в	2	3
61	например в	3	3
62	следующим образом	2	3
63	его в	3	3
64	данном случае	4	3
65	этой точки	3	3
66	и даже	3	3
67	и его	4	3
68	не случайно	2	3
69	к себе	3	3
70	из этих	2	3
71	связи с	6	3
72	в конце	4	3
73	тогда как	13	3
74	по этому	2	2
75	для нее	2	2
76	того же	2	2
77	та же	2	2
78	этого не	2	2
79	прежде всего	11	2
80	их не	2	2
81	в то	5	2
82	что его	3	2
83	в силу	4	2
84	и нет	2	2
85	было бы	2	2
86	в самом	3	2
87	тем более	2	2
88	и др	3	2
89	на себя	2	2
90	и тем	4	2
91	на том	2	2
92	со стороны	4	2
93	вплоть до	2	2
94	в связи	4	2
95	уже не	7	2
96	во многих	2	2
97	имеется в	2	2
98	это как	2	2
99	что не	2	2
100	что такое	2	2
101	друг друга	4	2
102	как это	8	2
103	в основе	3	2
104	из них	4	2
105	только на	2	2
106	все эти	2	2
107	но при	2	2
