N	2gram	Voloshinov_2	UchenyiS
1	и в	19	14
2	а не	9	10
3	не только	13	10
4	и не	19	8
5	прежде всего	7	8
6	то что	4	7
7	в этом	15	7
8	не может	18	7
9	может быть	28	6
10	хотя бы	6	5
11	то же	16	5
12	но и	10	4
13	в этой	3	4
14	в их	5	4
15	конечно не	4	4
16	с другой	3	4
17	но в	7	3
18	как и	9	3
19	и то	3	3
20	все же	5	3
21	не следует	2	3
22	в своей	3	3
23	и формы	3	3
24	бы то	4	3
25	то ни	5	3
26	же время	8	3
27	для него	9	3
28	это не	4	3
29	в то	8	3
30	не как	3	3
31	было бы	4	3
32	и т.д	4	3
33	ни было	6	3
34	у нас	3	3
35	смысле этого	4	2
36	форму и	3	2
37	том что	10	2
38	но не	2	2
39	в том	7	2
40	является в	2	2
41	мы не	2	2
42	с его	8	2
43	не есть	3	2
44	крайней мере	2	2
45	не в	10	2
46	и для	7	2
47	должна быть	4	2
48	о чем	2	2
49	если бы	11	2
50	только в	8	2
51	и с	2	2
52	тем что	2	2
53	сих пор	3	2
54	могут быть	3	2
55	его и	3	2
56	даже и	2	2
57	именно как	2	2
58	что он	4	2
59	и у	2	2
60	в себе	4	2
61	в системе	2	2
62	как раз	4	2
63	до сих	3	2
64	формы и	2	2
65	в противном	2	2
66	же самое	6	2
67	в самом	6	2
68	по себе	3	2
69	сводится к	2	2
70	одним из	2	2
71	ничего не	4	2
72	самом деле	9	2
73	а как	4	2
74	по крайней	2	2
75	и является	2	2
76	что и	3	2
77	в его	5	2
78	противном случае	2	2
79	между тем	6	2
80	таким образом	14	2
81	это было	2	2
