N	2gram	Tiupa_Disk_1	Marksizm
1	точки зрения	3	34
2	может быть	17	26
3	и не	11	26
4	не может	9	24
5	и в	16	19
6	и его	2	19
7	таким образом	3	17
8	в этом	15	16
9	как бы	5	15
10	в процессе	5	14
11	прежде всего	11	13
12	языка и	2	13
13	как мы	2	13
14	как и	16	12
15	так и	8	11
16	связи с	4	11
17	в самом	3	10
18	в нем	9	10
19	и т.п	12	10
20	для него	4	9
21	лишь в	4	9
22	внутренней речи	2	9
23	только в	7	9
24	при этом	13	8
25	но и	14	8
26	не только	28	8
27	все же	3	8
28	то что	5	8
29	в каждом	2	7
30	точка зрения	2	7
31	но в	8	7
32	в ее	3	7
33	во всех	5	7
34	то же	7	7
35	а не	22	7
36	в том	23	6
37	в науке	2	6
38	в пределах	2	6
39	другой стороны	3	6
40	отнюдь не	8	6
41	того же	3	6
42	в его	7	6
43	и того	3	6
44	так сказать	2	6
45	с другой	10	5
46	одного и	2	5
47	именно в	3	5
48	не в	7	5
49	общения и	2	5
50	в начале	2	5
51	и потому	3	5
52	и все	2	5
53	к этому	2	5
54	за пределы	2	5
55	в отличие	5	5
56	хотя бы	3	5
57	во всяком	2	5
58	отличие от	5	5
59	что в	4	4
60	не менее	2	4
61	в лингвистике	3	4
62	не является	4	4
63	а в	5	4
64	и на	5	4
65	сказать что	3	4
66	жизни в	2	4
67	с этим	3	4
68	по себе	3	4
69	еще не	14	4
70	что же	2	4
71	как в	10	4
72	мысли и	2	4
73	в данном	5	4
74	далеко не	10	4
75	и есть	2	3
76	в какой	2	3
77	одного из	2	3
78	здесь в	2	3
79	или иной	5	3
80	можно сказать	5	3
81	что делает	2	3
82	и как	6	3
83	же время	4	3
84	в котором	5	3
85	из них	3	3
86	по отношению	9	3
87	не было	7	3
88	того что	3	3
89	между тем	4	3
90	в то	3	3
91	же самое	2	3
92	общения в	2	3
93	к другому	2	3
94	различие между	2	3
95	и к	4	3
96	том что	19	3
97	более того	2	3
98	речевого общения	12	3
99	одной из	4	3
100	в сущности	2	3
101	не есть	2	3
102	в первом	3	3
103	в своей	5	3
104	в истории	4	3
105	целый ряд	2	3
106	сводится к	5	3
107	имеет свою	3	3
108	должны быть	3	3
109	науке о	2	3
110	и ее	2	3
111	том числе	2	2
112	зависит от	2	2
113	в частности	9	2
114	никогда не	2	2
115	в своем	6	2
116	исторические корни	2	2
117	свою очередь	3	2
118	числе и	2	2
119	в свою	3	2
120	в действительности	3	2
121	он ни	2	2
122	и иные	2	2
123	одним из	2	2
124	совпадает с	2	2
125	в виду	2	2
126	и др	2	2
127	с ее	2	2
128	точкой зрения	2	2
129	как к	2	2
130	имеет место	3	2
131	не приходится	2	2
132	во втором	4	2
133	и даже	3	2
134	языка с	2	2
135	в своих	3	2
136	в одной	3	2
137	одну из	2	2
138	к его	2	2
139	о том	8	2
140	речевых жанров	12	2
141	в основе	7	2
142	ни к	6	2
143	по мере	2	2
144	социального взаимодействия	2	2
145	между собой	2	2
146	не как	4	2
147	и во	2	2
148	но при	3	2
149	в литературе	2	2
150	что он	4	2
151	в себе	7	2
152	к данному	2	2
153	они и	3	2
154	в качестве	34	2
155	не сможет	2	2
156	в данной	3	2
157	к тому	5	2
158	говорили о	2	2
159	не могло	2	2
160	что и	3	2
161	отношению к	9	2
162	и относительно	2	2
163	речевой акт	2	2
164	человека в	2	2
165	речи как	2	2
166	что не	4	2
167	и он	2	2
168	на смену	3	2
169	говорящего и	2	2
170	или в	2	2
171	тем что	3	2
172	могут быть	4	2
173	в другом	2	2
174	и вообще	2	2
175	могла бы	2	2
176	и т.д	4	2
