N	2gram	Voloshinov_1	Otkroven
1	и в	19	19
2	но и	8	13
3	и не	26	13
4	в этом	16	12
5	а не	7	11
6	не в	5	11
7	человека в	2	11
8	может быть	26	11
9	не только	8	11
10	и все	5	10
11	вопрос о	4	10
12	в нем	10	10
13	никогда не	2	9
14	не было	3	9
15	прежде всего	13	9
16	и он	2	8
17	лишь в	9	7
18	до конца	5	7
19	от него	2	7
20	нет ничего	3	7
21	он не	3	7
22	в его	6	7
23	все это	3	6
24	как и	12	6
25	то что	8	5
26	а в	4	5
27	в том	6	5
28	для него	9	5
29	в самом	10	5
30	того чтобы	5	4
31	что не	2	4
32	есть лишь	2	4
33	все в	2	4
34	и его	19	4
35	все эти	7	4
36	не может	24	4
37	что в	4	4
38	не могут	3	3
39	нем нет	2	3
40	и есть	3	3
41	мысли и	4	3
42	что он	2	3
43	различие между	3	3
44	того что	3	3
45	для того	4	3
46	хотя бы	5	3
47	в своих	2	3
48	еще не	4	3
49	и от	3	3
50	могут быть	2	3
51	и ее	3	3
52	в себе	2	3
53	было бы	4	3
54	в русской	2	3
55	о том	2	3
56	как бы	15	3
57	подойти к	2	2
58	все же	8	2
59	что и	2	2
60	не есть	3	2
61	и для	11	2
62	в единстве	2	2
63	в истории	3	2
64	так и	11	2
65	жизни в	4	2
66	в своем	2	2
67	что же	4	2
68	как к	2	2
69	не все	2	2
70	что все	2	2
71	к этому	5	2
72	по себе	4	2
73	и к	3	2
74	не имеет	3	2
75	должно быть	2	2
76	в ее	7	2
77	в которой	3	2
78	том что	3	2
79	в другом	2	2
80	и на	4	2
81	сказать что	4	2
82	и с	2	2
83	тем что	2	2
84	момент в	3	2
85	его в	3	2
86	в своей	3	2
87	так как	2	2
88	к этой	2	2
89	ничего не	6	2
90	но в	7	2
91	и потому	5	2
