N	2gram	Voloshinov_1	slovoVRo
1	и в	16	39
2	может быть	17	37
3	и его	8	33
4	не только	7	24
5	и не	4	22
6	но и	4	21
7	не может	8	20
8	в нем	4	19
9	все это	4	16
10	в этом	9	16
11	так и	4	15
12	в пределах	2	13
13	во всех	3	12
14	и с	8	9
15	прежде всего	9	8
16	оно не	2	8
17	таким образом	9	8
18	точки зрения	8	8
19	с его	7	7
20	при этом	6	7
21	для него	6	7
22	еще не	5	7
23	в его	4	7
24	как бы	5	7
25	никогда не	2	7
26	в этих	3	7
27	и потому	3	7
28	и даже	4	7
29	как мы	4	7
30	могут быть	3	7
31	с ним	2	7
32	в него	5	7
33	в них	2	6
34	и к	6	6
35	как и	2	6
36	в большинстве	3	6
37	жизни и	3	6
38	все эти	5	6
39	но в	4	6
40	не могут	2	5
41	и для	2	5
42	и все	4	5
43	для нас	2	5
44	том что	3	5
45	только в	4	5
46	в том	3	5
47	и их	4	5
48	один из	2	5
49	и наконец	4	5
50	с ними	4	5
51	конечно не	6	5
52	большинстве случаев	3	5
53	мира и	3	5
54	не менее	2	4
55	поэтому и	2	4
56	и др	3	4
57	себя и	2	4
58	ни в	5	4
59	связанные с	2	4
60	в основном	3	4
61	для этого	2	4
62	отношения к	3	4
63	то же	2	4
64	что оно	2	4
65	и других	2	4
66	с помощью	2	4
67	для всех	4	4
68	а в	3	4
69	с другими	3	4
70	и на	4	4
71	в основе	3	4
72	отношение к	5	4
73	его в	4	4
74	так как	4	4
75	что в	3	3
76	хотя бы	4	3
77	что и	2	3
78	но это	2	3
79	на этом	3	3
80	у него	2	3
81	всех его	2	3
82	и как	3	3
83	с их	3	3
84	с точки	6	3
85	сказать что	7	3
86	может иметь	2	3
87	сознание и	5	3
88	говорить о	2	3
89	ту же	2	3
90	в чем	5	3
91	как это	3	3
92	во всяком	3	3
93	на границе	2	2
94	что он	2	2
95	с ее	4	2
96	в одно	2	2
97	и оно	3	2
98	на протяжении	2	2
99	все что	4	2
100	со всеми	2	2
101	только и	2	2
102	мы уже	2	2
103	за пределы	2	2
104	но оно	3	2
105	и проч	9	2
106	всяком случае	3	2
107	но мы	4	2
108	сих пор	3	2
109	то что	3	2
110	вместе с	3	2
111	те же	3	2
112	с этим	2	2
113	чем не	3	2
114	на них	2	2
115	мы не	2	2
116	они не	2	2
117	для сознания	3	2
118	и т.п	2	2
119	он не	2	2
120	нуждается в	5	2
121	как с	2	2
122	но как	2	2
123	не знает	2	2
124	о том	2	2
125	в области	3	2
126	в одном	3	2
127	цели и	2	2
128	до сих	3	2
