N	2gram	Vinokur_Vv_1	FransuaR
1	и в	27	40
2	и его	5	17
3	прежде всего	8	16
4	в этом	34	15
5	не только	21	13
6	и не	13	13
7	в его	10	13
8	что в	11	12
9	вовсе не	6	12
10	как и	5	11
11	но и	5	11
12	таким образом	19	10
13	как мы	9	10
14	в них	4	9
15	в сущности	3	9
16	может быть	24	9
17	отношение к	3	8
18	в том	31	8
19	и до	2	8
20	все эти	3	8
21	и с	2	8
22	той же	4	8
23	и на	3	8
24	но в	10	8
25	в своем	3	7
26	в одном	4	7
27	и др	2	7
28	до нас	3	7
29	то же	8	7
30	он и	2	7
31	в виду	4	7
32	в этих	3	6
33	к этому	3	6
34	же время	5	6
35	в самом	12	6
36	во всех	2	6
37	в своей	4	6
38	и других	3	6
39	в той	7	6
40	связи с	3	6
41	в то	5	6
42	до конца	3	6
43	как раз	4	5
44	в нем	13	5
45	то что	17	5
46	в связи	2	5
47	а не	3	5
48	и для	4	5
49	в своих	2	5
50	в особенности	4	5
51	у нас	2	4
52	том что	26	4
53	смысле слова	7	4
54	до сих	5	4
55	было бы	5	4
56	в ней	3	4
57	из них	3	4
58	а также	3	4
59	один из	6	4
60	жизни и	2	4
61	сих пор	5	4
62	в их	11	4
63	все это	6	4
64	только на	3	4
65	о том	15	4
66	в данном	11	4
67	того чтобы	21	4
68	и даже	5	4
69	также и	16	4
70	в истории	9	4
71	так как	13	4
72	в области	4	4
73	если бы	2	3
74	в частности	3	3
75	об этом	5	3
76	в ее	11	3
77	мы видели	2	3
78	в начале	3	3
79	в этой	3	3
80	для этого	3	3
81	одна из	2	3
82	большей или	2	3
83	еще не	4	3
84	и есть	3	3
85	такого рода	2	3
86	как бы	5	3
87	что и	3	3
88	вместе с	6	3
89	дело не	3	3
90	но дело	3	3
91	по отношению	4	3
92	не может	13	3
93	а в	5	3
94	самом деле	6	3
95	в значительной	2	3
96	для того	21	3
97	между ними	2	3
98	и как	9	3
99	но все	3	3
100	можно было	7	3
101	или меньшей	2	3
102	связь между	4	3
103	сказать что	5	3
104	в более	2	3
105	между тем	8	3
106	тем что	6	3
107	при этом	3	3
108	одно из	5	3
109	нуждается в	2	3
110	в отличие	3	3
111	в себе	4	3
112	в другом	3	3
113	во всем	2	3
114	только в	13	3
115	на протяжении	2	3
116	но ведь	4	3
117	в конце	3	3
118	здесь не	2	3
119	отличие от	3	3
120	заявляет что	2	3
121	не исчерпывается	2	2
122	не менее	8	2
123	связана с	4	2
124	есть и	4	2
125	уже в	5	2
126	времени и	4	2
127	в подлинном	2	2
128	до того	2	2
129	еще и	3	2
130	о чем	4	2
131	сравнению с	3	2
132	хотя бы	5	2
133	в течение	5	2
134	с другой	8	2
135	это не	8	2
136	из этих	5	2
137	это в	2	2
138	какой бы	2	2
139	и был	2	2
140	работа над	2	2
141	быть в	4	2
142	что он	4	2
143	и вот	3	2
144	можно сказать	3	2
145	все же	8	2
146	в дальнейшем	2	2
147	это есть	2	2
148	на этом	3	2
149	но не	7	2
150	в большей	7	2
151	и сам	2	2
152	например в	2	2
153	к нему	2	2
154	и той	2	2
155	одним из	5	2
156	том же	2	2
157	в котором	4	2
158	здесь нет	4	2
159	этой книги	2	2
160	отношению к	4	2
161	дело в	3	2
162	в целом	5	2
163	не к	2	2
164	своего рода	3	2
165	данном случае	5	2
166	в этот	2	2
167	в форме	2	2
168	как нечто	8	2
169	и далее	2	2
170	или же	3	2
171	в разных	5	2
172	этом отношении	3	2
173	именно в	8	2
174	хотя в	2	2
175	одной и	2	2
176	филологическое изучение	3	2
177	рядом с	2	2
178	потому что	14	2
179	одной из	3	2
180	говорит он	2	2
181	с этим	2	2
182	даже и	3	2
183	точки зрения	7	2
184	культурной жизни	2	2
185	и ее	4	2
186	но как	2	2
187	по сравнению	3	2
188	его к	2	2
189	этого слова	2	2
190	как он	6	2
191	и это	6	2
192	на тему	2	2
193	язык и	3	2
194	того же	3	2
195	мы не	2	2
196	как о	4	2
