N	2gram	Bakhtin_Fr_7	Psycholo
1	то что	8	44
2	и в	41	33
3	в этом	15	28
4	как бы	7	25
5	все время	2	24
6	потому что	5	24
7	может быть	4	22
8	том что	4	22
9	что в	9	21
10	в том	11	21
11	о том	6	20
12	что он	3	20
13	что это	4	13
14	таким образом	19	13
15	и не	7	13
16	так же	5	13
17	то есть	20	13
18	все это	10	13
19	к тому	2	12
20	все то	3	12
21	и все	14	12
22	так как	3	12
23	было бы	4	12
24	что все	2	11
25	он не	4	11
26	говорит что	2	10
27	не может	3	10
28	в его	12	10
29	в этой	13	9
30	то же	13	9
31	в конце	8	8
32	вместе с	5	8
33	в своем	9	7
34	до конца	2	7
35	в нем	7	7
36	не только	5	7
37	перед нами	2	6
38	это не	6	6
39	в ней	5	6
40	все эти	13	6
41	и вот	2	6
42	но он	4	6
43	точки зрения	5	6
44	во время	3	6
45	у него	6	6
46	мы видим	6	6
47	в сущности	4	6
48	на самом	2	6
49	а не	2	6
50	в себе	11	6
51	никогда не	2	5
52	с самого	2	5
53	и как	2	5
54	целый ряд	4	5
55	мы не	2	5
56	и на	4	5
57	вовсе не	7	5
58	как он	2	5
59	с ним	2	5
60	с этим	2	5
61	как и	14	5
62	и может	2	5
63	мы уже	12	5
64	и его	9	5
65	и это	5	5
66	я не	3	4
67	и есть	3	4
68	что у	3	4
69	это в	3	4
70	из них	3	4
71	жизни и	3	4
72	а в	5	4
73	и других	2	4
74	не просто	2	4
75	того что	2	4
76	и так	2	4
77	к этому	5	4
78	одна из	4	4
79	никто не	10	4
80	о нем	3	4
81	в своей	3	4
82	как мы	11	4
83	с точки	3	4
84	той же	3	4
85	можно было	3	4
86	жизнь и	2	4
87	только в	6	4
88	в которой	2	4
89	это было	2	4
90	в мире	3	3
91	ни в	6	3
92	тот же	2	3
93	должно быть	4	3
94	на этом	5	3
95	например в	3	3
96	с ее	3	3
97	но и	9	3
98	и до	6	3
99	не было	3	3
100	эпизод с	11	3
101	в которых	2	3
102	их в	2	3
103	и здесь	4	3
104	в то	10	3
105	во все	2	3
106	его в	3	3
107	та же	4	3
108	нет ни	2	3
109	том как	2	3
110	в одном	3	3
111	мы в	2	3
112	конце концов	4	3
113	что и	5	3
114	так и	10	3
115	как в	5	3
116	во всей	2	3
117	как я	4	3
118	тем самым	3	3
119	из которых	2	3
120	за то	3	3
121	и для	5	3
122	во всяком	2	3
123	от этого	3	3
124	тем что	3	3
125	по прямой	2	3
126	далеко не	2	3
127	в той	3	3
128	место в	4	2
129	уже в	5	2
130	в одной	2	2
131	и от	8	2
132	прежде всего	11	2
133	в нее	3	2
134	но все	4	2
135	такой же	3	2
136	же время	9	2
137	при этом	3	2
138	в виду	4	2
139	все те	2	2
140	точка зрения	2	2
141	все они	6	2
142	в их	3	2
143	именно в	2	2
144	и наконец	4	2
145	не имеет	3	2
146	в результате	2	2
147	и с	4	2
148	в руках	3	2
149	также и	2	2
150	не в	9	2
151	мы сейчас	2	2
152	и потому	3	2
153	мы имеем	2	2
154	но в	8	2
155	с его	2	2
156	он может	3	2
157	в них	7	2
158	и к	5	2
159	по существу	8	2
160	а на	2	2
161	в это	3	2
162	во всех	3	2
163	и смысл	2	2
164	всего романа	2	2
165	к самому	2	2
166	оказывается что	3	2
167	не на	3	2
168	он знает	2	2
169	в словах	2	2
170	и эта	3	2
171	никому не	2	2
172	в последней	4	2
173	и то	2	2
174	ничем не	3	2
175	и ее	2	2
176	ничего не	4	2
