N	2gram	Potebnia_M_3	Problemy
1	и не	15	31
2	и в	30	29
3	в его	4	24
4	может быть	28	24
5	а не	15	22
6	в этом	10	22
7	как бы	3	19
8	в нем	9	19
9	точки зрения	2	19
10	для него	9	18
11	не только	21	15
12	то что	18	15
13	не как	2	14
14	но и	19	14
15	и его	4	14
16	то же	23	14
17	уже не	6	13
18	как и	10	12
19	не может	6	12
20	таким образом	14	12
21	в одном	2	10
22	в самом	8	10
23	в то	10	10
24	только в	21	10
25	там где	3	10
26	все же	2	9
27	но не	7	9
28	же время	5	9
29	идеи в	2	9
30	если бы	12	9
31	в каждом	3	8
32	в своем	5	8
33	по себе	16	8
34	что он	6	8
35	что в	17	8
36	отношению к	5	8
37	в своей	2	8
38	по отношению	5	8
39	потому что	46	8
40	в том	32	8
41	прежде всего	3	7
42	вовсе не	7	7
43	а как	2	7
44	том что	18	7
45	не в	15	7
46	она не	2	7
47	за пределы	2	7
48	так и	11	7
49	в форме	2	7
50	входит в	2	7
51	и как	5	7
52	а в	12	7
53	с другими	5	7
54	и на	3	7
55	в себе	16	7
56	все это	4	6
57	не могут	5	6
58	сливается с	2	6
59	в целом	3	6
60	несмотря на	2	6
61	к нему	3	6
62	был бы	2	6
63	что она	3	6
64	как в	10	6
65	самом деле	2	6
66	так же	3	6
67	на мир	2	6
68	могут быть	3	6
69	его в	3	6
70	и потому	4	6
71	так как	13	6
72	перед нами	2	5
73	именно в	3	5
74	же что	6	5
75	было бы	9	5
76	но все	2	5
77	еще не	5	5
78	это и	2	5
79	и о	2	5
80	у него	2	5
81	он не	4	5
82	мысли и	2	5
83	той же	2	5
84	между тем	9	5
85	и это	4	5
86	с ним	6	5
87	перестает быть	4	4
88	что и	13	4
89	но это	6	4
90	и с	2	4
91	и следовательно	3	4
92	даже в	2	4
93	от того	8	4
94	и т	5	4
95	не было	4	4
96	тем что	7	4
97	как мы	7	4
98	и наконец	2	4
99	должно быть	5	4
100	их в	2	4
101	в этой	2	4
102	в произведении	3	4
103	так сказать	2	4
104	что же	2	4
105	как слово	3	3
106	уже в	5	3
107	в человеке	3	3
108	была бы	4	3
109	в них	5	3
110	с другой	7	3
111	есть то	2	3
112	все в	2	3
113	ни в	2	3
114	и слово	6	3
115	все что	4	3
116	не дает	2	3
117	оно не	4	3
118	и до	2	3
119	на него	3	3
120	в их	2	3
121	другой стороны	4	3
122	тому что	3	3
123	как на	5	3
124	т п	2	3
125	на котором	2	3
126	этом отношении	2	3
127	например в	6	3
128	мысль не	2	3
129	друг друга	3	3
130	тому как	5	3
131	сказать что	5	3
132	само по	3	3
133	подобно тому	2	3
134	но как	2	3
135	за ним	3	3
136	не знает	3	3
137	мы должны	4	3
138	отношении к	2	3
139	далеко не	4	3
140	и самое	2	3
141	бы в	2	3
142	жизни не	3	2
143	связи с	2	2
144	себя и	4	2
145	не образ	2	2
146	с этой	2	2
147	и от	4	2
148	к сознанию	2	2
149	те же	6	2
150	для понимания	4	2
151	его к	2	2
152	не есть	17	2
153	жизни и	2	2
154	же в	2	2
155	художественный образ	2	2
156	образ а	2	2
157	так что	7	2
158	мы видим	2	2
159	него самого	3	2
160	от них	2	2
161	при этом	3	2
162	только как	5	2
163	если б	5	2
164	о слове	2	2
165	имеет значение	6	2
166	никак не	3	2
167	оно ни	2	2
168	до сих	3	2
169	в котором	4	2
170	один из	4	2
171	в один	4	2
172	нам кажется	2	2
173	на его	2	2
174	отношение к	2	2
175	сих пор	3	2
176	мы уже	2	2
177	то и	6	2
178	и даже	2	2
179	или же	4	2
180	что оно	11	2
181	за собою	2	2
182	то оно	3	2
183	а потому	6	2
184	зрения и	2	2
185	слово в	4	2
186	в смысле	4	2
187	мы ее	2	2
188	и что	10	2
189	сознании и	2	2
190	слова но	2	2
191	то он	2	2
192	в которых	2	2
193	самое слово	2	2
194	в ней	8	2
195	одно из	5	2
196	для себя	3	2
197	и есть	3	2
198	образ в	2	2
199	заметить что	3	2
200	в которой	3	2
201	же и	3	2
202	нет ни	2	2
203	в сознании	15	2
204	с этим	6	2
