N	2gram	Bakhtin_fo_2	RusskieA
1	и в	46	36
2	не только	11	22
3	что в	5	19
4	том что	4	19
5	в том	10	17
6	но и	9	16
7	так как	6	15
8	во время	10	14
9	и другие	3	13
10	в этом	22	12
11	в этот	3	10
12	это не	2	10
13	как мы	6	10
14	как и	8	10
15	и т	14	10
16	вместе с	9	10
17	и на	7	10
18	потому что	8	10
19	т д	3	9
20	а в	3	9
21	с тем	2	8
22	у нас	2	8
23	из них	8	8
24	может быть	7	8
25	один из	2	8
26	и по	3	8
27	о том	4	8
28	как это	2	8
29	что они	4	7
30	что и	3	7
31	так и	7	7
32	и других	2	7
33	и не	9	6
34	в день	2	6
35	при этом	6	6
36	в них	7	6
37	уже не	3	6
38	таким образом	3	6
39	все это	6	6
40	то что	7	6
41	этом случае	2	5
42	все же	6	5
43	как бы	10	5
44	и у	5	5
45	в которых	3	5
46	как в	4	5
47	из этих	4	4
48	к этому	3	4
49	как уже	3	4
50	к тому	3	4
51	что на	3	4
52	по существу	5	4
53	после этого	2	4
54	еще не	6	4
55	связи с	8	4
56	вплоть до	2	4
57	и др	5	4
58	во всех	11	4
59	в некоторых	2	4
60	и их	4	4
61	в их	3	4
62	не может	2	4
63	в связи	8	4
64	мы имеем	2	4
65	того что	3	4
66	но это	2	4
67	тем что	3	4
68	только в	11	4
69	о чем	3	3
70	связанные с	5	3
71	в этих	3	3
72	в качестве	3	3
73	в своем	5	3
74	в одном	7	3
75	представление о	2	3
76	и к	2	3
77	на этом	2	3
78	в это	3	3
79	к ним	2	3
80	в основном	8	3
81	а также	3	3
82	если в	2	3
83	но эти	3	3
84	то же	8	3
85	с точки	8	3
86	так же	2	3
87	их в	4	3
88	точки зрения	10	3
89	то есть	10	3
90	под землей	2	3
91	далеко не	2	3
92	не было	3	2
93	всех этих	7	2
94	они были	2	2
95	и более	2	2
96	до того	2	2
97	в частности	5	2
98	могут быть	2	2
99	в фольклоре	2	2
100	только для	2	2
101	та же	3	2
102	с этим	5	2
103	и потому	2	2
104	в образе	4	2
105	их не	2	2
106	значение и	4	2
107	в нем	5	2
108	у него	9	2
109	он был	2	2
110	так что	4	2
111	и как	3	2
112	в дальнейшем	5	2
113	мы видим	2	2
114	к вопросу	3	2
115	но не	5	2
116	быть и	2	2
117	в большинстве	3	2
118	в прошлом	3	2
119	до конца	2	2
120	далее в	2	2
121	она не	2	2
122	не были	2	2
123	отнюдь не	4	2
124	имеет место	3	2
125	том же	4	2
126	в его	8	2
127	как можно	3	2
128	и с	6	2
129	значит что	2	2
130	и до	2	2
131	находится в	2	2
132	за счет	3	2
133	не на	3	2
134	в особенности	6	2
135	все эти	5	2
136	а не	4	2
137	и пр	2	2
138	и для	9	2
139	мы наблюдаем	3	2
140	с ним	4	2
141	он так	2	2
142	хотя и	3	2
143	себя и	3	2
144	но в	10	2
145	как он	2	2
146	там где	2	2
147	большинстве случаев	3	2
