N	3gram	Losev_Prob_1	Myshleni
1	для того чтобы	8	14
2	в том что	5	11
3	с точки зрения	3	9
4	так же как	2	7
5	можно сказать что	3	5
6	то же самое	9	4
7	о том что	5	4
8	сама по себе	4	4
9	подобно тому как	2	4
10	и того же	2	3
11	можно было бы	2	3
12	одного и того	2	3
13	в этом случае	2	3
14	до сих пор	3	3
15	не только не	3	3
16	не может быть	2	3
17	именно в этом	2	2
18	но если мы	2	2
19	в самом деле	2	2
20	о том как	2	2
21	ничего общего с	7	2
22	то и другое	2	2
23	с другой стороны	3	2
24	мы можем говорить	2	2
25	и то что	2	2
26	то что он	3	2
