N	2gram	Medvedev_U_1	SlovoVZh
1	не может	7	16
2	может быть	6	14
3	таким образом	2	12
4	и в	14	12
5	и не	8	10
6	если бы	2	9
7	прежде всего	8	8
8	художественного произведения	2	7
9	в том	2	6
10	только в	2	6
11	художественной формы	2	5
12	то что	7	5
13	должна быть	2	5
14	а не	10	5
15	то же	5	5
16	хотя бы	5	5
17	как и	3	5
18	том что	2	5
19	что мы	2	5
20	но в	3	5
21	ни было	3	4
22	все же	3	4
23	с другой	4	4
24	литературы и	2	4
25	не в	2	4
26	в этом	7	4
27	материала и	2	4
28	в самом	2	4
29	и является	2	4
30	не только	10	4
31	бы то	3	3
32	в художественном	5	3
33	в своей	3	3
34	в некоторых	2	3
35	сих пор	2	3
36	теоретической поэтики	2	3
37	художественное произведение	5	3
38	все это	5	3
39	то ни	3	3
40	по себе	2	3
41	но и	4	3
42	художественном произведении	2	3
43	самом деле	2	3
44	мы не	2	3
45	формы и	2	3
46	и с	2	3
47	художественного творчества	5	3
48	в себе	2	3
49	для него	3	3
50	до сих	2	3
51	и для	2	3
52	конечно не	4	3
53	между тем	2	3
54	истории литературы	3	2
55	перестает быть	5	2
56	с его	2	2
57	что и	2	2
58	все они	2	2
59	но конечно	2	2
60	другой стороны	3	2
61	это не	3	2
62	не есть	2	2
63	же самое	2	2
64	но это	2	2
65	и то	3	2
66	форму и	2	2
67	но не	2	2
68	могут быть	2	2
69	в то	3	2
70	ничего не	2	2
71	в его	2	2
