N	2gram	Tiupa_Anal_3	Morfolog
1	может быть	9	52
2	таким образом	4	20
3	представляет собой	5	17
4	не может	2	17
5	могут быть	2	15
6	с этим	3	14
7	и в	18	13
8	в этом	14	13
9	перед нами	4	11
10	прежде всего	5	9
11	не всегда	3	9
12	так и	14	9
13	то же	3	9
14	и не	12	9
15	а не	9	9
16	мы имеем	5	9
17	с другой	7	8
18	что и	5	8
19	в результате	5	8
20	в тех	2	7
21	в качестве	12	7
22	все же	4	7
23	это не	2	6
24	и здесь	2	6
25	в том	9	6
26	но не	7	6
27	а также	2	6
28	в форме	2	6
29	а в	10	6
30	подобно тому	3	6
31	не менее	4	5
32	тому как	2	5
33	во всех	2	5
34	далеко не	4	5
35	как бы	10	5
36	один из	2	5
37	то что	2	5
38	мы не	3	5
39	что в	9	4
40	и как	4	4
41	об этом	2	4
42	тем не	2	4
43	отношению к	7	4
44	было бы	3	4
45	на его	2	4
46	несмотря на	2	4
47	не только	22	4
48	как в	3	4
49	другой стороны	5	4
50	по отношению	7	4
51	как и	14	4
52	там где	2	4
53	на пути	2	4
54	хотя и	2	4
55	тем что	2	4
56	точки зрения	3	4
57	с точки	2	4
58	могла бы	2	4
59	его в	3	4
60	если в	3	4
61	ничего не	3	4
62	в начале	6	3
63	пока же	2	3
64	же в	2	3
65	том что	12	3
66	что они	3	3
67	в целом	3	3
68	в пределах	4	3
69	в сущности	5	3
70	во втором	4	3
71	он не	6	3
72	не является	5	3
73	в первом	2	3
74	но и	13	3
75	входит в	2	3
76	самом деле	2	3
77	и по	2	3
78	и для	2	3
79	мы можем	2	3
80	и ее	2	3
81	в то	3	3
82	героя и	4	3
83	но в	2	3
84	можно отметить	2	2
85	с тем	2	2
86	в частности	12	2
87	однако в	5	2
88	состоит в	4	2
89	к этому	3	2
90	как уже	2	2
91	что он	4	2
92	можно сказать	4	2
93	и к	4	2
94	путь к	3	2
95	не с	2	2
96	то в	2	2
97	только в	2	2
98	в большинстве	2	2
99	для него	6	2
100	одной стороны	2	2
101	не от	2	2
102	во сне	3	2
103	с героем	2	2
104	себя в	4	2
105	вопроса о	2	2
106	а а	5	2
107	с одной	2	2
108	все эти	2	2
109	уже не	5	2
110	после чего	2	2
111	и его	13	2
112	что мы	2	2
113	о том	6	2
114	в свое	2	2
115	здесь не	3	2
116	одна из	2	2
117	сказать что	2	2
118	как это	3	2
