N	2gram	Tiupa_Anal_1	VrazhdaK
1	не только	15	9
2	в этом	13	8
3	и в	18	8
4	но и	17	7
5	что в	5	7
6	то что	6	7
7	и все	3	7
8	в котором	3	6
9	в нем	3	6
10	все же	4	6
11	как и	13	6
12	в начале	2	6
13	но в	8	6
14	и с	2	6
15	о нем	3	6
16	то же	9	5
17	и не	21	5
18	между тем	5	5
19	в то	9	5
20	же время	6	5
21	как бы	5	4
22	это не	6	4
23	что он	3	4
24	с ним	4	4
25	х годов	2	4
26	может быть	29	4
27	при этом	12	4
28	несмотря на	2	4
29	о том	5	4
30	с его	3	3
31	в том	27	3
32	и его	5	3
33	том что	12	3
34	и как	5	3
35	в его	13	3
36	далеко не	6	3
37	и о	2	3
38	одним из	3	3
39	он не	3	3
40	и т.п	5	2
41	место в	3	2
42	а с	3	2
43	в своей	6	2
44	из них	2	2
45	никогда не	2	2
46	вместе с	4	2
47	отнюдь не	15	2
48	его и	2	2
49	столь же	4	2
50	не может	22	2
51	а в	9	2
52	тогда как	14	2
53	отношения к	2	2
54	таким образом	3	2
55	на место	2	2
56	в той	8	2
57	уже не	4	2
58	с точки	4	2
59	на основе	2	2
60	тем более	2	2
61	в этой	5	2
62	и то	2	2
63	точки зрения	6	2
64	в себе	11	2
65	отношение к	2	2
66	для него	2	2
67	еще не	3	2
68	при помощи	2	2
69	в мире	8	2
70	а также	3	2
