N	2gram	Propp_Isto_3	Sovremen
1	не может	4	17
2	точки зрения	2	12
3	может быть	11	12
4	таким образом	10	11
5	в этом	17	7
6	и в	22	7
7	и не	12	6
8	как и	3	6
9	мы можем	6	6
10	ничего не	6	6
11	прежде всего	3	5
12	все эти	4	5
13	мы видели	13	4
14	в целом	3	4
15	жизни и	2	4
16	вместе с	9	4
17	это не	6	4
18	а в	6	4
19	вопрос о	2	4
20	не только	14	4
21	в том	9	4
22	в дальнейшем	4	4
23	их в	3	4
24	из них	7	4
25	мы должны	7	4
26	так как	7	4
27	все же	5	3
28	видели что	4	3
29	в наших	2	3
30	то же	6	3
31	в нем	9	3
32	а не	6	3
33	и к	3	3
34	для нас	4	3
35	у нас	4	3
36	не в	4	3
37	в этой	5	3
38	одна из	2	3
39	еще не	10	3
40	при этом	2	3
41	было бы	3	3
42	в одном	2	3
43	и все	3	3
44	следующим образом	3	3
45	что она	5	3
46	но в	10	3
47	и потому	2	3
48	совершенно не	2	2
49	не менее	5	2
50	и есть	2	2
51	в виде	2	2
52	в некоторых	5	2
53	у него	3	2
54	не будем	3	2
55	через некоторое	2	2
56	быть и	3	2
57	то и	6	2
58	из этих	3	2
59	с одной	2	2
60	еще более	2	2
61	как мы	8	2
62	уже не	7	2
63	в свою	4	2
64	и что	2	2
65	роль в	2	2
66	и пр	11	2
67	и даже	2	2
68	тем не	5	2
69	мы знаем	2	2
70	той же	2	2
71	мы видим	8	2
72	но все	2	2
73	такой же	2	2
74	во всяком	2	2
75	на этом	4	2
76	знаем что	2	2
77	могут быть	5	2
78	с этим	8	2
79	и они	4	2
80	что в	15	2
81	не дает	2	2
82	некоторое время	3	2
83	на его	3	2
84	в его	3	2
85	всяком случае	2	2
