N	2gram	Propp_Morf_1	Vladivir
1	и в	13	31
2	не только	4	24
3	но и	4	19
4	то что	8	18
5	и не	12	17
6	том что	4	14
7	что в	8	14
8	в этом	14	14
9	что он	4	12
10	но в	2	12
11	с его	2	11
12	в том	6	11
13	потому что	3	11
14	о том	2	11
15	также и	4	10
16	он не	3	10
17	как мы	6	9
18	а в	7	9
19	только в	2	9
20	и по	2	8
21	в то	3	8
22	так как	16	8
23	об этом	4	7
24	как это	3	7
25	сказать что	2	7
26	к этому	3	6
27	и к	4	6
28	можно сказать	2	6
29	у нас	2	6
30	в качестве	5	6
31	может быть	52	6
32	так и	6	6
33	не может	14	6
34	то же	7	6
35	и что	2	6
36	это было	3	6
37	а с	2	5
38	вовсе не	4	5
39	на то	2	5
40	не в	3	5
41	но как	2	5
42	в свое	2	5
43	а также	4	5
44	что и	7	5
45	что же	2	5
46	главным образом	4	4
47	для нас	2	4
48	что его	2	4
49	как и	3	4
50	и как	5	4
51	в этой	2	4
52	совсем не	3	4
53	хотя и	3	4
54	один из	5	4
55	в нашем	3	4
56	а а	2	4
57	несмотря на	4	4
58	из его	2	4
59	в россии	2	4
60	к нему	3	4
61	в которой	3	4
62	мы увидим	8	3
63	к тому	4	3
64	в виде	2	3
65	с другой	8	3
66	как в	3	3
67	увидим ниже	5	3
68	но не	4	3
69	но это	6	3
70	что они	2	3
71	более или	2	3
72	по своему	2	3
73	ничего не	4	3
74	все же	7	3
75	на его	4	3
76	в целом	3	3
77	на него	3	3
78	или менее	2	3
79	другой стороны	4	3
80	в связи	9	3
81	таким образом	21	3
82	все эти	2	3
83	в в	2	3
84	здесь мы	3	3
85	уже не	2	3
86	то мы	4	3
87	и здесь	5	3
88	в начале	3	3
89	во время	6	3
90	здесь не	2	3
91	тем что	4	2
92	мы будем	3	2
93	с тем	2	2
94	не менее	5	2
95	в частности	2	2
96	хотя бы	4	2
97	по существу	12	2
98	и затем	4	2
99	ясно что	5	2
100	в тех	6	2
101	на первый	3	2
102	тем не	5	2
103	это и	2	2
104	этот момент	3	2
105	на этом	3	2
106	учение о	3	2
107	то время	3	2
108	еще не	3	2
109	того что	3	2
110	было бы	3	2
111	всяком случае	2	2
112	и т	41	2
113	из них	3	2
114	то как	2	2
115	не по	2	2
116	не будем	4	2
117	дело не	2	2
118	со стороны	3	2
119	что она	2	2
120	даже не	3	2
121	только что	2	2
122	так например	3	2
123	но мы	3	2
124	т д	39	2
125	и для	2	2
126	и за	2	2
127	того чтобы	3	2
128	для того	2	2
129	что мы	2	2
130	что такое	3	2
131	с того	3	2
132	а по	3	2
133	в результате	7	2
134	во всяком	2	2
135	точки зрения	2	2
136	в каком	2	2
137	мы должны	3	2
138	тех же	4	2
