N	2gram	Vinokur_St_2	Tragedij
1	и в	29	18
2	в романе	4	10
3	в году	3	9
4	в этом	21	9
5	не только	19	8
6	и не	9	7
7	и на	6	7
8	и с	4	7
9	может быть	2	7
10	как бы	5	7
11	в образе	3	6
12	что он	13	6
13	и его	6	6
14	но в	8	6
15	все же	6	5
16	что это	3	5
17	так и	9	5
18	не может	2	5
19	то же	2	5
20	как и	2	5
21	в то	2	5
22	несмотря на	2	5
23	это очень	2	5
24	но и	19	4
25	то что	11	4
26	что в	19	4
27	все это	11	4
28	я не	7	4
29	прежде всего	5	4
30	в нем	4	4
31	и даже	3	4
32	так же	3	4
33	том что	27	4
34	но это	3	4
35	в этой	2	4
36	что я	2	4
37	и что	6	4
38	в себе	2	4
39	об этом	6	4
40	о чем	5	3
41	в своем	9	3
42	в конце	2	3
43	что за	2	3
44	как в	3	3
45	все эти	2	3
46	и он	3	3
47	и как	2	3
48	в его	13	3
49	что с	2	3
50	для него	4	3
51	при этом	2	3
52	и сам	2	3
53	своего рода	5	3
54	как это	2	3
55	еще в	2	2
56	это был	2	2
57	не имеет	2	2
58	не был	3	2
59	но они	2	2
60	что и	2	2
61	на всем	2	2
62	только к	2	2
63	как говорит	2	2
64	в частности	4	2
65	в отличие	2	2
66	и я	2	2
67	а как	4	2
68	вопрос о	6	2
69	если б	4	2
70	с его	2	2
71	к тому	10	2
72	и здесь	3	2
73	ни в	3	2
74	он был	2	2
75	в ее	2	2
76	в том	27	2
77	до конца	3	2
78	говорит о	2	2
79	отличие от	2	2
80	но все	7	2
81	так что	3	2
82	не в	4	2
83	что этот	2	2
84	вряд ли	3	2
85	в данном	2	2
86	потому что	9	2
87	с тем	7	2
88	тем что	3	2
89	чем он	2	2
90	только о	2	2
91	на меня	2	2
92	как у	3	2
93	в письмах	2	2
94	по поводу	8	2
95	в это	2	2
96	по словам	4	2
97	о том	17	2
98	его в	2	2
99	и это	2	2
100	в самом	7	2
101	не мог	3	2
102	ничего не	4	2
103	он не	9	2
104	в одном	6	2
105	никогда не	3	2
106	одном из	3	2
