N	3gram	Medvedev_F_1	Problema
1	по отношению к	4	19
2	и т п	4	13
3	не может быть	5	11
4	с точки зрения	13	6
5	в большинстве случаев	2	5
6	в его целом	8	5
7	в художественном произведении	2	4
8	то же время	8	3
9	в то же	8	3
10	с одной стороны	4	3
11	как мы увидим	2	3
12	бы то ни	3	3
13	в применении к	2	3
14	произведение в его	2	3
15	на самом деле	6	3
16	в лучшем случае	3	2
17	так и в	4	2
18	художественном произведении как	2	2
19	русский формальный метод	2	2
20	того или иного	2	2
21	и не может	2	2
22	в строгом смысле	2	2
23	и в частности	2	2
