N	3gram	Tiupa_Teor_1	DiskursI
1	в том что	8	13
2	с одной стороны	2	9
3	по отношению к	4	9
4	тогда как в	2	5
5	в отличие от	6	4
6	то же время	5	4
7	с другой стороны	5	3
8	в свою очередь	2	3
9	не может быть	4	3
10	в то же	5	3
11	а с другой	2	3
12	в том числе	2	2
13	можно сказать что	2	2
14	и того же	3	2
15	одного и того	3	2
16	в данном случае	5	2
17	состоит в том	5	2
18	мы имеем дело	2	2
19	в соответствии с	2	2
20	не сводится к	4	2
21	более или менее	2	2
22	по своей природе	2	2
23	тот или иной	2	2
