N	2gram	Trubetskoy_1	Hudozhes
1	том что	7	16
2	и в	26	14
3	так и	6	13
4	а не	5	12
5	в том	11	12
6	не только	10	12
7	при этом	3	12
8	о том	6	12
9	прежде всего	2	11
10	в этом	15	11
11	в себе	6	11
12	для него	3	10
13	что он	4	9
14	в качестве	3	9
15	то же	4	9
16	то что	7	8
17	же время	2	8
18	отношению к	3	8
19	между тем	2	8
20	в этой	4	8
21	в то	4	8
22	в его	5	8
23	к тому	6	7
24	уже не	3	7
25	не в	2	7
26	еще не	2	7
27	как бы	12	7
28	не может	4	7
29	именно в	2	7
30	а в	4	7
31	никогда не	5	6
32	что в	9	6
33	в глазах	2	6
34	не менее	3	5
35	с его	2	5
36	к жизни	5	5
37	в этих	4	5
38	может быть	10	5
39	только в	4	5
40	но и	9	5
41	жизни и	2	5
42	одновременно и	2	5
43	потому что	7	5
44	точки зрения	13	5
45	но в	7	5
46	связи с	9	4
47	в своем	3	4
48	и от	4	4
49	и все	2	4
50	на то	2	4
51	можно сказать	3	4
52	и к	5	4
53	тем не	3	4
54	несмотря на	6	4
55	в самом	4	4
56	и о	3	4
57	один из	2	4
58	из них	7	4
59	не было	2	4
60	того что	3	4
61	только что	2	4
62	он не	4	4
63	по своей	2	4
64	в конце	6	4
65	и это	2	4
66	и с	10	4
67	но не	8	3
68	если бы	3	3
69	превращается в	2	3
70	в мире	5	3
71	по своему	2	3
72	в нем	4	3
73	все же	6	3
74	приводит к	2	3
75	в связи	3	3
76	и для	5	3
77	этом отношении	2	3
78	все эти	6	3
79	лишь в	5	3
80	того чтобы	5	3
81	и даже	3	3
82	с точки	6	3
83	и по	4	3
84	в таком	3	3
85	ничем не	4	3
86	и на	2	3
87	а также	2	3
88	в рамках	3	2
89	если в	3	2
90	так или	3	2
91	больше не	2	2
92	и потому	6	2
93	ясно что	3	2
94	совершенно иной	2	2
95	состоит в	2	2
96	так что	3	2
97	же как	3	2
98	и что	4	2
99	они в	2	2
100	одной из	5	2
101	в начале	2	2
102	только для	2	2
103	сих пор	5	2
104	все это	6	2
105	заключает в	2	2
106	особенно в	2	2
107	а с	7	2
108	и не	8	2
109	но с	3	2
110	в значительной	3	2
111	не имеет	5	2
112	или иначе	3	2
113	с этой	3	2
114	в результате	3	2
115	как от	2	2
116	о котором	2	2
117	с того	2	2
118	до сих	5	2
