N	2gram	Vygotskiy__5	Tvorches
1	и в	30	21
2	как бы	19	17
3	в то	2	15
4	в его	4	13
5	то же	7	13
6	что в	24	12
7	как и	6	12
8	то есть	13	12
9	с его	2	11
10	том что	21	11
11	в романе	2	10
12	все это	2	10
13	как в	3	8
14	он не	3	8
15	то что	37	8
16	у него	3	7
17	в свою	3	7
18	в том	27	7
19	при этом	8	7
20	не только	16	7
21	и не	6	7
22	и на	3	7
23	но в	5	7
24	что он	17	6
25	и все	4	6
26	для него	3	6
27	в котором	2	6
28	человека в	3	6
29	а в	4	6
30	и его	6	6
31	в этом	14	6
32	о том	10	6
33	вовсе не	3	5
34	а не	8	5
35	может быть	11	5
36	в этой	5	5
37	все же	7	5
38	таким образом	20	5
39	хотя бы	3	5
40	в своих	5	5
41	потому что	23	5
42	как будто	6	5
43	только в	5	5
44	в своем	6	4
45	прежде всего	4	4
46	и как	7	4
47	времени и	3	4
48	в целом	5	4
49	один из	5	4
50	в своей	4	4
51	не может	9	4
52	это не	3	4
53	не существует	3	3
54	уже в	6	3
55	он видит	2	3
56	самого начала	3	3
57	и другие	3	3
58	никогда не	9	3
59	с другой	9	3
60	что все	6	3
61	в каждом	2	3
62	это в	3	3
63	говорит о	4	3
64	это и	2	3
65	с самого	3	3
66	но не	7	3
67	на его	3	3
68	в самом	14	3
69	той же	3	3
70	в нем	7	3
71	и т	7	3
72	жизни и	6	3
73	но и	6	3
74	в их	3	3
75	по мнению	6	3
76	на самом	2	3
77	он говорит	3	3
78	того что	8	3
79	и даже	2	3
80	так же	13	3
81	в которой	3	3
82	есть основа	4	3
83	и с	2	3
84	ту же	2	3
85	в рассказе	2	3
86	дело в	2	3
87	так как	9	3
88	в основе	7	2
89	перед нами	2	2
90	а как	2	2
91	и та	2	2
92	в частности	4	2
93	в этих	3	2
94	на том	2	2
95	в качестве	2	2
96	к этому	3	2
97	есть не	4	2
98	можно сказать	2	2
99	что и	3	2
100	с которым	3	2
101	а затем	2	2
102	об этом	3	2
103	так что	3	2
104	не в	8	2
105	одна из	3	2
106	того же	2	2
107	до конца	2	2
108	в нашей	2	2
109	тот же	3	2
110	мысль о	4	2
111	из них	2	2
112	к тому	8	2
113	только на	4	2
114	по преимуществу	2	2
115	по самому	2	2
116	в одной	2	2
117	в ней	4	2
118	и когда	9	2
119	в него	4	2
120	себе не	2	2
121	был бы	5	2
122	гораздо более	2	2
123	и тем	6	2
124	еще в	2	2
125	в образах	2	2
126	когда он	5	2
127	вместе с	12	2
128	собой в	2	2
129	но она	2	2
130	данном случае	3	2
131	так и	3	2
132	приводит к	2	2
133	но его	2	2
134	говорит что	6	2
135	в отличие	2	2
136	и того	2	2
137	именно в	6	2
138	в двух	5	2
139	в себя	2	2
140	мы находим	2	2
141	что она	6	2
142	но только	3	2
143	самом деле	8	2
144	и наконец	3	2
145	и он	2	2
146	только что	4	2
147	отличие от	2	2
148	или в	6	2
149	сказать что	9	2
150	могут быть	8	2
151	но он	3	2
152	в данном	3	2
153	в себе	5	2
154	т п	3	2
155	о котором	6	2
156	не знает	2	2
157	героя и	7	2
158	на деле	8	2
159	нет ни	2	2
160	в виду	4	2
