N	3gram	Tiupa_Hudo_1	Analitik
1	не может быть	3	16
2	в том что	7	9
3	в то же	5	8
4	в отличие от	7	6
5	значении этого слова	2	6
6	то же время	5	6
7	той или иной	4	6
8	по отношению к	9	5
9	факторов художественного впечатления	3	5
10	мы имеем дело	2	4
11	в конечном счете	5	4
12	с точки зрения	3	4
13	в том числе	2	3
14	в той или	2	3
15	состоит в том	5	3
16	с одной стороны	2	3
17	для того чтобы	2	3
18	того или иного	3	3
19	организации художественного текста	3	2
20	в коем случае	2	2
21	ни в коем	2	2
22	не сводится к	5	2
23	одного и того	2	2
24	в равной степени	2	2
25	тех или иных	2	2
26	в том и	2	2
27	коем случае не	2	2
28	и того же	2	2
29	с другой стороны	5	2
