N	3gram	Vygotskiy__5	Stilisti
1	в зависимости от	6	7
2	для того чтобы	19	7
3	мы никогда не	2	5
4	с точки зрения	2	5
5	с самого начала	3	4
6	то же самое	3	4
7	одно и то	3	4
8	то что мы	2	4
9	и то же	3	4
10	той или иной	2	4
11	не только в	2	3
12	в конце концов	2	3
13	в этом случае	2	3
14	заключает в себе	4	3
15	на самом деле	2	3
16	в этом отношении	3	2
17	мы видим что	3	2
18	к тому что	6	2
19	о том что	6	2
20	можно сказать что	2	2
21	и как бы	4	2
22	как бы в	2	2
23	не что иное	2	2
24	что иное как	2	2
25	и тем же	3	2
26	зависимости от того	2	2
27	все то что	2	2
28	вместе с тем	3	2
29	и той же	2	2
30	не может быть	2	2
31	одной и той	2	2
