N	3gram	Vinokur_Vv_1	Problema
1	с точки зрения	2	11
2	тем не менее	8	10
3	в том что	12	8
4	по крайней мере	4	6
5	то же самое	2	6
6	с другой стороны	5	6
7	в данном случае	4	5
8	не только в	4	4
9	можно было бы	3	4
10	во всяком случае	3	4
11	о том что	12	3
12	и т д	37	3
13	точно так же	2	3
14	только в том	2	3
15	и тем не	3	3
16	в связи с	2	3
17	вместе с тем	3	3
18	в этом смысле	10	3
19	тех или иных	3	3
20	как будто бы	2	2
21	в том виде	3	2
22	а также и	2	2
23	в то же	5	2
24	не говоря уже	2	2
25	сама по себе	3	2
26	есть не что	2	2
27	хотя бы и	2	2
28	не что иное	4	2
29	что иное как	4	2
30	в том чтобы	5	2
31	заключается в том	3	2
32	для того чтобы	21	2
33	потому что он	2	2
