N	2gram	Voloshinov_1	DiskursI
1	не только	6	28
2	в том	2	23
3	а не	2	22
4	том что	2	19
5	может быть	8	17
6	и в	13	16
7	как и	3	16
8	в этом	2	15
9	но и	3	14
10	при этом	2	13
11	и т.п	7	12
12	прежде всего	9	11
13	и не	8	11
14	с другой	2	10
15	как в	2	10
16	в нем	2	9
17	отношению к	3	9
18	одной стороны	2	9
19	по отношению	3	9
20	не может	8	9
21	с одной	2	9
22	а также	2	8
23	своего рода	2	8
24	так и	3	8
25	но в	4	8
26	в его	7	7
27	то же	4	7
28	роль в	2	7
29	в себе	3	7
30	только в	6	7
31	не в	3	7
32	к тому	2	5
33	как бы	6	5
34	в своей	4	5
35	то что	6	5
36	в процессе	5	5
37	а в	2	5
38	в их	3	5
39	в данном	2	5
40	что в	3	4
41	не является	4	4
42	в них	2	4
43	для себя	2	4
44	не как	3	4
45	и к	2	4
46	для него	2	4
47	в целом	2	4
48	лишь в	4	4
49	между тем	2	4
50	могут быть	2	4
51	и т.д	5	4
52	в лингвистике	2	3
53	в ее	3	3
54	литературного произведения	2	3
55	с этим	3	3
56	в действительности	2	3
57	в самом	2	3
58	имеет место	2	3
59	еще в	2	3
60	хотя бы	5	3
61	все же	5	3
62	таким образом	6	3
63	другой стороны	2	3
64	в своих	2	3
65	тем что	2	3
66	точки зрения	7	3
67	в произведении	2	3
68	не менее	2	2
69	никогда не	3	2
70	и все	3	2
71	в одном	3	2
72	в каждом	4	2
73	в тех	2	2
74	в г	2	2
75	в пределах	3	2
76	более того	2	2
77	общения и	2	2
78	представляет себе	2	2
79	и др	2	2
80	и тем	2	2
81	того или	2	2
82	героя и	2	2
83	что же	3	2
84	данном случае	2	2
85	за пределы	3	2
86	языка и	5	2
87	уже в	2	2
88	и его	12	2
89	и ее	2	2
90	соответствии с	2	2
91	в другом	2	2
