N	2gram	Propp_Isto_4	Vvedenie
1	и т	27	42
2	т д	24	36
3	т е	18	35
4	и в	26	32
5	в том	3	31
6	в этом	7	30
7	может быть	14	26
8	том что	3	26
9	не только	15	22
10	таким образом	10	19
11	то что	16	16
12	потому что	6	15
13	так как	9	15
14	не может	6	14
15	в нем	2	13
16	о том	4	13
17	того что	2	12
18	и не	9	12
19	представляет собой	2	12
20	в его	5	12
21	только в	3	12
22	как мы	5	11
23	в данном	3	11
24	что в	14	10
25	но в	5	9
26	и как	5	9
27	в истории	2	9
28	по себе	2	9
29	то же	8	9
30	не менее	2	8
31	с другой	4	8
32	это не	5	8
33	тем не	2	8
34	не в	5	8
35	вопрос о	4	7
36	смысле этого	2	7
37	но не	5	7
38	было бы	2	7
39	все же	9	7
40	как нечто	3	7
41	не могут	2	6
42	из этих	3	6
43	до сих	5	6
44	но и	12	6
45	все это	2	6
46	о природе	3	6
47	и даже	4	6
48	его в	9	6
49	как он	6	6
50	с тем	2	6
51	вовсе не	4	6
52	как и	7	6
53	в качестве	7	6
54	сих пор	5	6
55	а именно	3	6
56	хотя бы	2	6
57	и его	10	6
58	этот вопрос	2	6
59	тем что	5	6
60	в руки	3	6
61	уже в	2	5
62	иное как	3	5
63	так что	2	5
64	так например	2	5
65	на этот	2	5
66	как бы	3	5
67	и тем	2	5
68	в целом	2	5
69	а как	2	5
70	данном случае	3	5
71	другой стороны	4	5
72	в которых	4	5
73	сказать что	2	5
74	об этом	7	5
75	есть и	2	5
76	не есть	2	5
77	вместе с	6	5
78	а не	6	5
79	могут быть	6	5
80	представляют собой	4	5
81	на вопрос	3	4
82	связана с	2	4
83	с этой	2	4
84	этом случае	3	4
85	о чем	3	4
86	в тексте	2	4
87	в особенности	2	4
88	не просто	4	4
89	и что	5	4
90	не имеет	3	4
91	а в	8	4
92	даже и	2	4
93	что иное	3	4
94	как это	3	4
95	мы имеем	7	4
96	е в	3	4
97	должен был	3	4
98	сравнению с	3	4
99	что он	10	4
100	не что	3	4
101	еще не	6	4
102	по сравнению	3	4
103	в своей	4	4
104	только что	3	4
105	в виде	2	4
106	уже не	5	4
107	и то	6	4
108	в себе	2	4
109	только с	2	4
110	что это	2	3
111	и есть	2	3
112	в частности	2	3
113	в этих	7	3
114	раньше чем	5	3
115	сливается с	2	3
116	но все	5	3
117	в этой	2	3
118	на этом	2	3
119	при этом	3	3
120	такого рода	2	3
121	хотя и	2	3
122	то это	5	3
123	к нему	6	3
124	мы видели	6	3
125	отношение к	2	3
126	из них	2	3
127	на том	2	3
128	дело не	2	3
129	что она	3	3
130	в своем	2	3
131	все эти	3	3
132	и других	3	3
133	и вот	2	3
134	так же	18	3
135	и на	2	3
136	при помощи	10	3
137	если бы	2	3
138	однако в	2	3
139	к этому	5	3
140	говорит о	2	3
141	связи с	3	3
142	в одном	5	3
143	а также	3	3
144	что и	9	3
145	в области	2	3
146	же как	13	2
147	должна быть	2	2
148	и другие	3	2
149	это уже	2	2
150	никогда не	2	2
151	точно так	5	2
152	задний план	2	2
153	на задний	2	2
154	в дальнейшем	6	2
155	но это	3	2
156	такого же	2	2
157	и др	5	2
158	не к	2	2
159	от того	2	2
160	в форме	2	2
161	в связи	2	2
162	и наоборот	2	2
163	с помощью	2	2
164	этой стороны	2	2
165	этих случаях	8	2
166	не мог	3	2
167	есть только	3	2
168	по его	2	2
169	и с	5	2
170	с этим	2	2
171	и здесь	5	2
172	же самое	2	2
173	так и	10	2
174	могло бы	2	2
175	этого не	2	2
176	на котором	3	2
177	к отдельным	2	2
178	у нас	2	2
179	по существу	3	2
180	его к	3	2
181	и при	3	2
182	чтобы он	2	2
183	что мы	3	2
184	мы должны	5	2
185	мы уже	5	2
186	этого слова	2	2
187	в этот	4	2
188	в языке	2	2
189	связь между	2	2
190	тогда как	4	2
191	того как	4	2
192	из которых	5	2
193	между ними	3	2
194	в силу	5	2
195	мы можем	6	2
196	в другом	5	2
197	при жизни	2	2
198	собой в	2	2
199	здесь не	4	2
200	одна из	2	2
201	ничего не	5	2
