N	2gram	Medvedev_V_1	Problema
1	то что	6	38
2	и не	19	37
3	вовсе не	3	37
4	и в	26	35
5	сказать что	5	24
6	не только	25	24
7	том что	8	19
8	даже и	3	18
9	о том	10	18
10	может быть	22	18
11	у нас	2	18
12	что такое	2	18
13	в этом	26	17
14	но и	10	16
15	что мы	2	14
16	только в	7	14
17	не менее	2	13
18	не может	17	13
19	в том	15	12
20	того что	3	12
21	также и	2	12
22	хотя бы	19	12
23	что в	10	11
24	прежде всего	13	11
25	и даже	2	11
26	говорить о	2	10
27	еще не	2	10
28	а не	7	10
29	в этой	4	9
30	пока еще	2	9
31	только о	2	8
32	было бы	7	8
33	в виду	4	8
34	по себе	2	8
35	как раз	3	8
36	все же	5	8
37	при помощи	3	8
38	в конце	3	7
39	смысле слова	2	7
40	не является	5	7
41	все эти	6	7
42	того или	2	7
43	в его	14	7
44	конце концов	2	7
45	так и	5	7
46	бы и	6	7
47	можно ли	2	6
48	с другой	11	6
49	что все	3	6
50	можно сказать	4	6
51	о чем	2	6
52	не о	2	6
53	и т	23	6
54	к сожалению	2	6
55	т д	14	6
56	но как	3	6
57	в то	6	6
58	по крайней	2	6
59	же самое	2	6
60	относится к	2	6
61	крайней мере	2	6
62	и для	2	6
63	но в	2	6
64	в области	2	6
65	в частности	11	5
66	или иной	2	5
67	в самом	4	5
68	отнюдь не	3	5
69	в связи	3	5
70	с этим	3	5
71	с одной	2	5
72	так же	3	5
73	как и	7	5
74	связи с	4	5
75	то же	10	5
76	одной стороны	2	5
77	что не	3	5
78	другой стороны	8	5
79	можно было	2	5
80	с другими	2	5
81	в себе	6	5
82	будто бы	2	5
83	еще и	2	5
84	не могут	7	4
85	и есть	5	4
86	в своем	8	4
87	эта теория	2	4
88	и как	3	4
89	более или	6	4
90	в общем	2	4
91	между собою	2	4
92	как бы	5	4
93	не вполне	2	4
94	что она	2	4
95	все это	10	4
96	таким образом	31	4
97	заключается в	2	4
98	а в	3	4
99	в результате	5	4
100	их в	6	4
101	всех этих	2	4
102	если бы	3	4
103	представить себе	2	4
104	что он	4	4
105	стороны и	2	4
106	но не	2	4
107	что при	2	4
108	или менее	6	4
109	далеко не	2	4
110	значит что	2	4
111	он сам	2	3
112	но даже	3	3
113	тому что	6	3
114	и от	3	3
115	из этих	7	3
116	к тому	4	3
117	же о	2	3
118	что они	3	3
119	в нашей	4	3
120	значительной мере	3	3
121	хотя и	2	3
122	один из	5	3
123	то это	2	3
124	в целом	4	3
125	только то	2	3
126	и их	3	3
127	в их	5	3
128	не было	7	3
129	этой области	3	3
130	лишь в	2	3
131	и наконец	2	3
132	в науке	2	3
133	и по	3	3
134	что для	3	3
135	в своих	2	3
136	его в	3	3
137	бы в	3	3
138	с тем	3	3
139	только не	2	3
140	по этому	9	3
141	тогда когда	2	3
142	и к	3	3
143	это и	6	3
144	одна из	4	3
145	она не	3	3
146	и этот	2	3
147	нет и	3	3
148	даже не	2	3
149	бы не	2	3
150	в значительной	3	3
151	для того	3	3
152	в слове	3	3
153	тому как	2	3
154	это только	4	3
155	как о	2	3
156	том числе	2	2
157	перед нами	4	2
158	что многие	2	2
159	его от	2	2
160	не в	6	2
161	является не	4	2
162	числе и	2	2
163	по поводу	2	2
164	из которых	2	2
165	себе и	2	2
166	в зависимости	6	2
167	и др	9	2
168	сводится к	3	2
169	вообще и	2	2
170	отличается от	2	2
171	что оно	3	2
172	даже в	5	2
173	в системе	2	2
174	или в	3	2
175	должно быть	2	2
176	как на	3	2
177	в ней	2	2
178	же и	2	2
179	точки зрения	3	2
180	самого себя	2	2
181	в плане	5	2
182	только с	2	2
183	частности в	2	2
184	думается что	4	2
185	в них	4	2
186	с нею	2	2
187	утверждать что	4	2
188	об этом	9	2
189	не столь	3	2
190	и при	5	2
191	зависимости от	5	2
192	в качестве	11	2
193	ли это	2	2
194	мысль о	2	2
195	о своем	2	2
196	точном смысле	2	2
197	он не	2	2
198	оно является	2	2
199	что и	3	2
200	во всех	6	2
201	вместе с	7	2
202	этому поводу	7	2
203	чтобы не	2	2
204	что без	2	2
205	того чтобы	3	2
206	роль в	4	2
207	подобно тому	2	2
208	и ее	4	2
209	от его	2	2
210	на это	2	2
211	которые в	2	2
