N	2gram	Propp_Isto_6	VelikijI
1	и не	10	20
2	и в	26	16
3	то что	6	9
4	так как	18	9
5	еще не	9	8
6	что они	2	7
7	на земле	4	7
8	а не	2	7
9	не есть	2	6
10	как бы	4	5
11	но и	9	5
12	того что	2	5
13	в образе	10	4
14	что он	9	4
15	в нем	8	4
16	как и	5	4
17	все что	4	4
18	это еще	3	4
19	что мы	2	4
20	так и	5	4
21	что не	2	4
22	потому что	13	4
23	в этом	12	4
24	в ней	5	4
25	в его	5	4
26	с его	4	3
27	должна быть	3	3
28	что в	12	3
29	в этих	2	3
30	в них	3	3
31	превращается в	7	3
32	ни в	2	3
33	в том	12	3
34	не в	3	3
35	но это	4	3
36	к тому	2	3
37	никогда не	13	3
38	то это	5	3
39	что и	4	3
40	жизни и	2	3
41	в своей	3	3
42	не было	3	3
43	и они	2	3
44	и что	5	3
45	не имеет	2	3
46	тех которые	2	3
47	их в	3	3
48	от этого	3	3
49	все эти	8	3
50	но в	7	3
51	с тем	4	2
52	это не	4	2
53	прежде всего	4	2
54	для нас	2	2
55	том что	10	2
56	одна из	2	2
57	от него	3	2
58	но не	2	2
59	в последнем	2	2
60	это мы	2	2
61	когда в	2	2
62	и сам	2	2
63	земли и	2	2
64	не только	10	2
65	один из	3	2
66	но мы	2	2
67	и т	10	2
68	не будет	5	2
69	на том	8	2
70	ее в	6	2
71	в форме	2	2
72	т д	8	2
73	а с	2	2
74	тем что	5	2
75	мы не	6	2
76	уже не	7	2
77	не так	2	2
78	вот почему	3	2
79	его не	2	2
80	а в	3	2
81	с ним	8	2
82	можно было	2	2
83	и то	3	2
84	людей и	2	2
85	могут быть	3	2
86	самого себя	2	2
87	только в	5	2
88	и это	8	2
89	во всяком	2	2
