N	2gram	Propp_Isto_7	OGranits
1	и в	24	13
2	и его	3	12
3	прежде всего	2	9
4	не может	14	8
5	и не	4	8
6	может быть	14	8
7	точки зрения	4	7
8	таким образом	7	6
9	не только	21	6
10	то что	7	6
11	только в	6	6
12	мы должны	4	6
13	как бы	4	6
14	все же	9	5
15	и эта	2	5
16	и наконец	3	5
17	то же	8	4
18	все это	8	4
19	мы не	4	4
20	мы можем	4	4
21	было бы	2	4
22	но в	5	4
23	что в	13	3
24	никогда не	4	3
25	но и	11	3
26	так и	5	3
27	в их	4	3
28	и все	6	3
29	превращается в	3	3
30	здесь мы	5	3
31	в ее	2	3
32	как и	6	3
33	не в	9	3
34	в которой	2	3
35	не столько	3	3
36	с этим	2	3
37	так как	8	3
38	но для	2	3
39	не менее	5	2
40	и др	2	2
41	уже в	3	2
42	с этой	6	2
43	и тем	2	2
44	в нем	6	2
45	ее в	3	2
46	своего рода	4	2
47	данном случае	3	2
48	а не	8	2
49	думать что	2	2
50	другой стороны	8	2
51	с другой	9	2
52	от всех	2	2
53	в них	3	2
54	в связи	2	2
55	а в	10	2
56	с одной	5	2
57	все эти	2	2
58	вовсе не	4	2
59	в тех	5	2
60	как в	12	2
61	в чем	5	2
62	не имеет	4	2
63	в том	7	2
64	так же	6	2
65	том что	10	2
66	мы видим	10	2
67	в ряд	2	2
68	в данном	4	2
69	что они	3	2
70	в этом	12	2
71	тем что	6	2
72	при этом	4	2
73	связанные с	2	2
74	и ее	2	2
75	в руках	2	2
76	во всем	2	2
77	тот же	2	2
78	одной стороны	5	2
79	в действительности	2	2
80	кажется что	3	2
81	мы уже	4	2
82	его на	2	2
83	в целях	2	2
84	в самом	2	2
85	героя и	5	2
86	там где	5	2
