N	2gram	Losev_Vlad_1	EvropaiC
1	таким образом	3	32
2	в том	11	31
3	и в	31	24
4	том что	14	20
5	все эти	3	19
6	не может	6	18
7	то что	18	17
8	может быть	6	15
9	все же	3	15
10	точки зрения	2	13
11	в своем	4	12
12	в этом	14	12
13	все это	5	11
14	мы знаем	2	10
15	все что	2	10
16	так и	6	10
17	на то	5	9
18	при этом	2	9
19	в результате	2	9
20	как и	4	9
21	того же	6	9
22	что в	14	9
23	не в	5	8
24	в самом	2	8
25	знаем что	2	8
26	и все	4	8
27	ясно что	2	8
28	не менее	2	7
29	к тому	3	7
30	но и	19	7
31	и не	17	7
32	и что	6	7
33	из этих	2	7
34	по своей	4	7
35	о котором	2	7
36	о том	11	7
37	что он	12	7
38	по существу	2	7
39	или менее	3	7
40	того чтобы	2	7
41	для того	2	7
42	из этого	2	7
43	более или	3	7
44	с другой	3	6
45	так что	10	6
46	в этой	4	6
47	в общем	3	6
48	несмотря на	4	6
49	того что	2	6
50	как на	2	6
51	и на	3	6
52	что касается	3	6
53	так как	8	6
54	с ним	5	6
55	еще не	2	6
56	что и	5	6
57	только в	9	6
58	вместе с	3	6
59	и от	5	5
60	на все	2	5
61	что все	2	5
62	тому же	2	5
63	у него	15	5
64	что с	2	5
65	в целом	3	5
66	другой стороны	3	5
67	как к	2	5
68	и с	14	5
69	потому что	11	5
70	но в	12	5
71	к этому	6	5
72	и к	6	5
73	в то	8	5
74	по своему	3	5
75	и если	5	5
76	в его	12	5
77	не только	24	5
78	и для	2	5
79	лишь в	2	5
80	в себе	4	5
81	в которой	4	5
82	никогда не	9	4
83	в конце	9	4
84	тем не	2	4
85	что его	4	4
86	в дальнейшем	8	4
87	одним из	2	4
88	хотя и	4	4
89	отношение к	3	4
90	из них	2	4
91	и то	10	4
92	мы должны	2	4
93	мы уже	7	4
94	он не	10	4
95	конце концов	3	4
96	выше мы	2	4
97	совершенно не	2	4
98	то же	6	4
99	а с	5	4
100	в течение	9	4
101	этой области	2	4
102	и сейчас	2	4
103	в в	3	4
104	и у	4	4
105	хотя бы	2	4
106	в виде	3	4
107	мы будем	2	3
108	но даже	2	3
109	в нашем	4	3
110	с в	3	3
111	в тех	2	3
112	для нас	4	3
113	уже и	2	3
114	в нем	4	3
115	и других	2	3
116	образом в	2	3
117	и по	8	3
118	а в	9	3
119	в начале	3	3
120	в истории	4	3
121	что мы	2	3
122	и потому	6	3
123	в эти	7	3
124	с тем	2	3
125	в жизни	3	3
126	у нас	6	3
127	во всем	4	3
128	от него	2	3
129	тот же	3	3
130	конечно не	2	3
131	даже в	2	3
132	только что	2	3
133	жизнь и	3	3
134	тем более	2	3
135	в связи	3	3
136	и вообще	4	3
137	и это	2	3
138	и весь	2	2
139	но на	3	2
140	в частности	2	2
141	что у	4	2
142	что на	2	2
143	как мы	9	2
144	для него	7	2
145	мы и	4	2
146	что они	3	2
147	на этом	2	2
148	же время	4	2
149	и сам	6	2
150	к нему	4	2
151	том чтобы	2	2
152	всяком случае	2	2
153	в котором	6	2
154	по его	2	2
155	и до	2	2
156	что она	2	2
157	то и	2	2
158	что для	4	2
159	раннем детстве	2	2
160	с ними	2	2
161	и так	3	2
162	но как	5	2
163	не было	5	2
164	также и	10	2
165	это конечно	3	2
166	а это	2	2
167	во всяком	2	2
168	то есть	3	2
169	отнюдь не	3	2
170	от нее	2	2
171	в них	2	2
172	же касается	4	2
173	вовсе не	5	2
174	со своими	3	2
175	в англию	2	2
176	этого последнего	2	2
177	на первый	2	2
178	а к	22	2
179	но не	3	2
180	не очень	5	2
181	на такой	2	2
182	тех же	2	2
183	было бы	2	2
184	со своей	3	2
185	жизни и	5	2
186	и из	3	2
187	между прочим	11	2
188	которую он	2	2
189	и особенно	4	2
190	очень мало	2	2
191	него в	2	2
192	на него	3	2
193	что же	5	2
194	о которой	3	2
195	тем самым	2	2
196	которой мы	2	2
