N	2gram	Savitsky_E_1	Istorich
1	и в	37	24
2	не только	18	21
3	т е	9	16
4	может быть	6	14
5	не может	9	14
6	в этих	2	13
7	что в	21	13
8	как в	3	12
9	в этом	12	12
10	но и	14	11
11	том что	6	10
12	а в	2	10
13	и что	2	10
14	мы видим	2	10
15	с другой	7	9
16	не в	5	9
17	о том	3	9
18	потому что	3	9
19	что и	3	8
20	другой стороны	2	8
21	то же	15	8
22	а не	2	8
23	или в	2	8
24	так как	7	8
25	в том	11	7
26	мы видели	3	7
27	во всех	6	7
28	то что	6	7
29	вместе с	2	7
30	к нему	2	7
31	таким образом	2	7
32	тем что	3	6
33	с этой	6	6
34	для нас	4	6
35	как и	7	6
36	так же	9	6
37	но не	5	6
38	а именно	2	6
39	он не	2	6
40	и все	2	6
41	того что	7	6
42	только в	9	6
43	что это	2	6
44	одной стороны	8	5
45	так и	10	5
46	с одной	8	5
47	там где	3	5
48	но в	14	5
49	никогда не	3	4
50	вовсе не	6	4
51	представляет собой	3	4
52	одной из	5	4
53	же как	5	4
54	как бы	6	4
55	в их	11	4
56	случаях когда	2	4
57	и не	14	4
58	не имеет	4	4
59	в других	2	4
60	мы не	4	4
61	точки зрения	23	4
62	в данном	3	4
63	мы должны	2	4
64	то не	2	4
65	мы можем	3	4
66	в другой	2	3
67	в качестве	14	3
68	в них	3	3
69	тогда когда	2	3
70	представление о	2	3
71	вопрос о	4	3
72	на то	6	3
73	кажется что	2	3
74	и если	2	3
75	между прочим	7	3
76	при помощи	2	3
77	связано с	3	3
78	происходит в	2	3
79	когда он	3	3
80	ее в	3	3
81	данном случае	2	3
82	по своим	3	3
83	как мы	5	3
84	этой точки	5	3
85	она в	3	3
86	и наконец	2	3
87	и даже	6	3
88	и по	5	3
89	хотя и	2	3
90	не будет	3	2
91	но по	2	2
92	думать что	8	2
93	того же	3	2
94	вообще не	3	2
95	и от	3	2
96	прежде всего	9	2
97	совершенно очевидно	2	2
98	не могут	2	2
99	не можем	2	2
100	стороны и	6	2
101	в то	16	2
102	в ее	8	2
103	говорит о	3	2
104	это значит	2	2
105	в силу	2	2
106	она не	2	2
107	участие в	2	2
108	было бы	8	2
109	в самом	4	2
110	и эта	2	2
111	нас к	2	2
112	к ним	3	2
113	к ней	4	2
114	более поздние	2	2
115	в котором	2	2
116	если в	2	2
117	тем более	4	2
118	на себя	3	2
119	и тем	3	2
120	со стороны	5	2
121	во многих	4	2
122	на этот	2	2
123	как это	4	2
124	прочим и	2	2
125	сказать что	4	2
126	из них	3	2
127	с этим	2	2
128	и на	6	2
129	этот вопрос	2	2
130	его на	2	2
131	что эти	2	2
