N	2gram	Propp_Russ_2	Vladivir
1	и в	29	40
2	то что	5	28
3	не только	10	25
4	но и	8	18
5	в том	22	18
6	том что	22	18
7	что в	22	17
8	в этом	11	16
9	так что	4	14
10	не может	5	14
11	в виде	4	13
12	а именно	3	12
13	никогда не	2	11
14	таким образом	6	11
15	потому что	5	11
16	о том	9	11
17	прежде всего	2	10
18	тем не	2	10
19	в году	3	10
20	не менее	2	9
21	что это	3	9
22	уже не	4	9
23	и с	10	9
24	и то	2	9
25	в своей	2	9
26	под названием	2	9
27	не был	2	8
28	в этой	3	8
29	может быть	13	8
30	так же	4	8
31	и что	5	8
32	а также	4	8
33	как мы	3	8
34	а не	4	8
35	и как	2	7
36	там же	12	7
37	а в	9	7
38	в своих	2	7
39	так как	13	7
40	с тем	6	7
41	того что	3	7
42	в то	2	7
43	что и	2	7
44	вместе с	6	7
45	как и	11	7
46	кроме того	2	6
47	и на	6	6
48	и от	3	6
49	об этом	2	6
50	во всем	2	6
51	с другой	2	5
52	для нас	6	5
53	совсем не	2	5
54	но если	3	5
55	должно быть	2	5
56	не было	2	5
57	все эти	3	5
58	у нас	4	5
59	еще в	2	5
60	можно было	2	5
61	в данном	6	5
62	тем что	3	5
63	вопрос о	4	4
64	в глаза	2	4
65	до конца	3	4
66	в котором	3	4
67	не имеет	3	4
68	как это	4	4
69	и все	4	4
70	не с	2	4
71	по существу	4	4
72	чем в	2	4
73	но не	5	4
74	то время	2	4
75	здесь в	2	4
76	еще не	6	4
77	было бы	3	4
78	и о	3	4
79	говорит о	2	4
80	то же	4	4
81	а с	2	4
82	в течение	2	4
83	все же	2	4
84	но в	5	4
85	же как	4	3
86	в качестве	3	3
87	это не	5	3
88	из этих	2	3
89	а наоборот	3	3
90	одной стороны	2	3
91	при этом	6	3
92	как бы	18	3
93	в виду	2	3
94	к нему	4	3
95	мы видели	7	3
96	с одной	2	3
97	именно в	4	3
98	не столько	2	3
99	что здесь	3	3
100	все то	2	3
101	мы имеем	6	3
102	по этому	2	3
103	же в	6	3
104	церкви и	2	3
105	не все	4	3
106	ее в	8	3
107	в отличие	3	3
108	на самом	2	3
109	того чтобы	6	3
110	не в	4	3
111	и для	2	3
112	в таком	4	3
113	жизнь и	2	3
114	которое в	2	3
115	далеко не	4	3
116	отличие от	3	3
117	в этих	3	2
118	с этой	2	2
119	что на	2	2
120	не можем	2	2
121	должен был	3	2
122	что она	3	2
123	в их	2	2
124	то и	4	2
125	и по	3	2
126	друг друга	3	2
127	же деле	2	2
128	это время	2	2
129	и еще	2	2
130	его в	8	2
131	с этим	2	2
132	к этому	5	2
133	а и	2	2
134	на первый	3	2
135	самом же	2	2
136	не к	2	2
137	бросается в	2	2
138	она не	3	2
139	из них	4	2
140	совершенно не	2	2
141	сил то	2	2
142	в церкви	2	2
143	в этот	10	2
144	как можно	2	2
145	выше мы	3	2
146	данном случае	7	2
147	из этого	2	2
148	но можно	2	2
149	заметить что	2	2
150	для того	6	2
151	мы не	6	2
152	на себя	2	2
153	как например	3	2
154	связи с	2	2
155	в европе	2	2
156	в которой	2	2
