N	2gram	Tiupa_Disk_1	Psycholo
1	то что	5	37
2	и в	16	30
3	в том	23	27
4	что в	4	24
5	и что	2	23
6	потому что	4	23
7	том что	19	21
8	таким образом	3	20
9	как бы	5	19
10	что он	4	17
11	не только	28	16
12	в самом	3	14
13	в этом	15	14
14	то есть	20	13
15	одной стороны	9	12
16	в сущности	2	12
17	с одной	9	12
18	может быть	17	11
19	о том	8	10
20	никогда не	2	9
21	с другой	10	9
22	не может	9	9
23	сказать что	3	9
24	мы имеем	2	8
25	к тому	5	8
26	не в	7	8
27	а не	22	8
28	при этом	13	8
29	того что	3	8
30	заключается в	3	8
31	могут быть	4	8
32	по себе	3	7
33	в нем	9	7
34	и как	6	7
35	но не	11	7
36	все же	3	7
37	то же	7	7
38	точки зрения	3	7
39	героя и	2	7
40	в основе	7	7
41	уже в	2	6
42	в своем	6	6
43	именно в	3	6
44	как и	16	6
45	что с	2	6
46	и тем	2	6
47	но и	14	6
48	и не	11	6
49	и его	2	6
50	или в	2	6
51	тем что	3	6
52	о котором	2	6
53	на этом	2	6
54	дело с	2	5
55	и есть	2	5
56	в целом	4	5
57	как мы	2	5
58	и потому	3	5
59	в этой	2	5
60	еще не	14	5
61	когда он	2	5
62	один из	3	5
63	другой стороны	3	5
64	а с	5	5
65	сводится к	5	5
66	в своих	3	5
67	в себе	7	5
68	но в	8	5
69	только в	7	5
70	же самое	2	5
71	в частности	9	4
72	и все	2	4
73	прежде всего	11	4
74	стороны и	2	4
75	указывает на	2	4
76	и к	4	4
77	в своей	5	4
78	в его	7	4
79	в них	4	4
80	не есть	2	4
81	внимание на	4	4
82	а в	5	4
83	о чем	2	4
84	в виду	2	4
85	и составляет	3	3
86	хотя бы	3	3
87	это не	3	3
88	не как	4	3
89	к искусству	2	3
90	это в	2	3
91	состоит в	9	3
92	к этому	2	3
93	об этом	2	3
94	в свою	3	3
95	для него	4	3
96	имеет место	3	3
97	из двух	2	3
98	в ее	3	3
99	что и	3	3
100	на его	4	3
101	события в	2	3
102	данном случае	2	3
103	так и	8	3
104	со стороны	7	3
105	как в	10	3
106	в их	5	3
107	так например	2	3
108	времени и	3	3
109	героя в	2	3
110	и о	4	3
111	целый ряд	2	3
112	человека в	2	3
113	в силу	5	3
114	и на	5	3
115	в данном	5	3
116	в другом	2	3
117	в каждой	3	3
118	перед нами	3	2
119	с его	4	2
120	связи с	4	2
121	действующее лицо	2	2
122	между собой	2	2
123	не является	4	2
124	в противоположность	2	2
125	в одной	3	2
126	с этим	3	2
127	в одном	2	2
128	в каждом	2	2
129	или иной	5	2
130	можно сказать	5	2
131	ли не	3	2
132	различия между	3	2
133	и того	3	2
134	того же	3	2
135	одного и	2	2
136	или на	3	2
137	к другому	2	2
138	обратить внимание	2	2
139	том чтобы	2	2
140	на том	2	2
141	той или	3	2
142	в качестве	34	2
143	еще в	3	2
144	в котором	5	2
145	себе не	3	2
146	сами по	2	2
147	не с	3	2
148	строго говоря	2	2
149	из них	3	2
150	во всех	5	2
151	на сцене	2	2
152	отношения к	2	2
153	в форме	2	2
154	отличается от	2	2
155	по отношению	9	2
156	в отличие	5	2
157	в себя	5	2
158	приводит к	2	2
159	и герой	2	2
160	и даже	3	2
161	и он	2	2
162	отличие от	5	2
163	в сферу	3	2
164	в которых	4	2
165	что касается	2	2
166	исходя из	2	2
167	в то	3	2
168	что даже	2	2
169	в рассказе	2	2
170	едва ли	2	2
