N	2gram	Medvedev_V_1	Vladivir
1	и в	26	40
2	то что	6	28
3	и не	19	25
4	не только	25	25
5	у него	6	24
6	но и	10	18
7	в том	15	18
8	том что	8	18
9	еще и	2	18
10	что в	10	17
11	также и	2	17
12	в этом	26	16
13	в его	14	14
14	не может	17	14
15	точки зрения	3	13
16	вовсе не	3	13
17	только в	7	13
18	сказать что	5	12
19	даже и	3	12
20	в конце	3	12
21	никогда не	4	11
22	таким образом	31	11
23	о том	10	11
24	прежде всего	13	10
25	то это	2	10
26	и потому	2	10
27	как раз	3	10
28	в году	6	10
29	и его	6	10
30	не менее	2	9
31	в своей	4	9
32	в себе	6	9
33	в своем	8	8
34	в этой	4	8
35	для него	8	8
36	может быть	22	8
37	так же	3	8
38	он не	2	8
39	а не	7	8
40	что все	3	7
41	к тому	4	7
42	и как	3	7
43	хотя и	2	7
44	а в	3	7
45	в своих	2	7
46	с тем	3	7
47	того что	3	7
48	в то	6	7
49	что и	3	7
50	вместе с	7	7
51	как и	7	7
52	смысле слова	2	6
53	и даже	2	6
54	и от	3	6
55	по себе	2	6
56	об этом	9	6
57	так и	5	6
58	хотя бы	19	6
59	значит что	2	6
60	с другой	11	5
61	должно быть	2	5
62	не было	7	5
63	все эти	6	5
64	в ней	2	5
65	отнюдь не	3	5
66	в одном	4	5
67	что он	4	5
68	у нас	2	5
69	между прочим	2	5
70	или менее	6	5
71	можно было	2	5
72	конце концов	2	5
73	более или	6	5
74	но даже	3	4
75	тому что	6	4
76	в самом	4	4
77	в котором	3	4
78	от того	2	4
79	бы и	6	4
80	в результате	5	4
81	января года	3	4
82	при помощи	3	4
83	как это	12	4
84	по существу	3	4
85	но не	2	4
86	утверждает что	3	4
87	еще не	2	4
88	было бы	7	4
89	в основном	5	4
90	даже в	5	4
91	говорит о	7	4
92	него в	3	4
93	то же	10	4
94	в течение	2	4
95	все же	5	4
96	но в	2	4
97	перед нами	4	3
98	вот что	9	3
99	же как	2	3
100	в качестве	11	3
101	это не	7	3
102	из этих	7	3
103	человека и	3	3
104	только о	2	3
105	мы знаем	3	3
106	является не	4	3
107	одной стороны	2	3
108	но для	2	3
109	как бы	5	3
110	в виду	4	3
111	в нем	6	3
112	мы видели	3	3
113	отличается от	2	3
114	в связи	3	3
115	с одной	2	3
116	именно в	2	3
117	как на	3	3
118	в философии	4	3
119	не столько	2	3
120	же самое	2	3
121	сводится к	3	3
122	мы имеем	3	3
123	этот труд	2	3
124	если бы	3	3
125	по этому	9	3
126	же в	6	3
127	говорит в	3	3
128	ее в	4	3
129	даже не	2	3
130	того чтобы	3	3
131	и у	2	3
132	не в	6	3
133	и для	2	3
134	далеко не	2	3
135	в чем	2	3
136	он сам	2	2
137	не могут	7	2
138	можно ли	2	2
139	все они	2	2
140	идеи и	6	2
141	что его	2	2
142	имеет свою	3	2
143	же время	5	2
144	в нашей	4	2
145	и наконец	2	2
146	не о	2	2
147	же и	2	2
148	на эти	2	2
149	себе и	2	2
150	не является	5	2
151	познания в	4	2
152	в целом	4	2
153	только то	2	2
154	в материальной	2	2
155	что она	2	2
156	в их	5	2
157	другой стороны	8	2
158	и по	3	2
159	по его	2	2
160	этом отношении	13	2
161	а вот	2	2
162	к его	2	2
163	но как	3	2
164	самого себя	2	2
165	что даже	2	2
166	что мы	2	2
167	его в	3	2
168	иметь в	2	2
169	бы в	3	2
170	не вполне	2	2
171	могло бы	2	2
172	нет ни	2	2
173	только с	2	2
174	в книге	2	2
175	и этот	2	2
176	с его	3	2
177	знаем что	2	2
178	а о	2	2
179	с этим	3	2
180	в жизни	2	2
181	к этому	9	2
182	стороны и	2	2
183	этом же	2	2
184	и к	3	2
185	разума и	3	2
186	в силу	11	2
187	она не	3	2
188	из них	9	2
189	как говорит	5	2
190	только что	4	2
191	при всем	3	2
192	но с	2	2
193	для того	3	2
194	роль в	4	2
195	как например	2	2
196	в другом	2	2
197	связи с	4	2
198	в которой	2	2
