N	2gram	Bakhtin_sl_2	Dialekti
1	и не	22	30
2	может быть	37	20
3	и в	39	19
4	не только	24	19
5	по себе	5	18
6	и т	35	17
7	а не	14	16
8	т д	2	15
9	в себе	2	15
10	то что	2	14
11	и даже	7	14
12	в том	5	14
13	как бы	7	14
14	так как	4	14
15	вовсе не	10	13
16	но и	21	12
17	то же	4	12
18	точки зрения	8	12
19	и все	5	12
20	ни в	4	10
21	как и	6	10
22	и как	3	10
23	в нем	19	10
24	так и	15	10
25	том что	5	10
26	это не	5	10
27	сказать что	3	10
28	никогда не	7	9
29	не может	20	9
30	же и	2	9
31	прежде всего	8	8
32	она не	6	8
33	мы уже	2	8
34	с точки	3	8
35	не в	9	8
36	в этом	16	8
37	сама по	3	7
38	как это	3	7
39	но это	3	7
40	и к	6	7
41	что в	3	7
42	в поэзии	2	7
43	что он	2	6
44	в то	4	6
45	но не	6	6
46	конечно не	5	6
47	жизни и	6	6
48	тогда когда	2	6
49	должна быть	3	5
50	с другой	5	5
51	же время	4	5
52	и потому	7	5
53	что и	3	5
54	а именно	2	5
55	в одно	2	5
56	в смысле	4	5
57	и его	33	5
58	но как	2	5
59	говорить о	3	5
60	только в	5	5
61	о том	2	5
62	и с	9	5
63	уже в	2	4
64	может не	2	4
65	независимо от	2	4
66	в своем	6	4
67	в одном	2	4
68	не могут	5	4
69	все же	6	4
70	при этом	7	4
71	еще не	7	4
72	к нему	3	4
73	за пределы	2	4
74	той или	5	4
75	он не	2	4
76	хотя бы	3	4
77	связи с	3	4
78	быть и	3	4
79	без всякого	2	4
80	все это	16	4
81	в связи	2	4
82	таким образом	8	4
83	что оно	4	4
84	а в	4	4
85	в таком	4	4
86	могут быть	7	4
87	но он	2	4
88	в другом	2	4
89	как он	2	4
90	с ним	7	4
91	не менее	4	3
92	всех этих	4	3
93	и более	2	3
94	в этих	7	3
95	и от	3	3
96	как мы	7	3
97	уже не	5	3
98	это и	2	3
99	и слова	5	3
100	кроме того	2	3
101	себе как	2	3
102	даже в	2	3
103	и их	5	3
104	с этим	2	3
105	не было	2	3
106	в той	4	3
107	в данном	2	3
108	может иметь	3	3
109	нуждается в	2	3
110	они не	2	3
111	его в	4	3
112	или как	4	3
113	в чем	3	3
114	если она	3	2
115	смысла и	3	2
116	в узком	4	2
117	в зависимости	4	2
118	перед нами	3	2
119	бы только	2	2
120	человека и	3	2
121	именно в	2	2
122	но мы	2	2
123	но все	5	2
124	зависимости от	4	2
125	в истории	11	2
126	или менее	2	2
127	и нет	2	2
128	до сих	2	2
129	и часто	3	2
130	нем и	2	2
131	на его	2	2
132	в сущности	6	2
133	далее в	2	2
134	или прямо	4	2
135	в ней	3	2
136	в сфере	2	2
137	всяком случае	2	2
138	сих пор	2	2
139	и остается	3	2
140	себя в	8	2
141	во всех	12	2
142	в некоторых	3	2
143	на него	2	2
144	в их	2	2
145	может и	2	2
146	т п	33	2
147	смысл и	2	2
148	например в	5	2
149	того как	2	2
150	с ее	2	2
151	с одной	5	2
152	как в	13	2
153	только и	2	2
154	более или	2	2
155	его не	4	2
156	бы и	3	2
157	или в	2	2
158	с ними	5	2
159	на мир	2	2
160	также и	2	2
161	в результате	2	2
162	и при	2	2
163	между тем	3	2
164	в виде	2	2
165	или на	2	2
166	только о	2	2
167	во всяком	3	2
168	все эти	6	2
169	в области	2	2
170	но в	6	2
171	вместе с	2	2
172	на этом	3	2
