N	2gram	Tiupa_Anal_1	Komedia
1	и в	18	22
2	том что	12	12
3	в том	27	11
4	но и	17	11
5	не только	15	10
6	из них	2	10
7	в то	9	10
8	как и	13	9
9	и т	3	9
10	может быть	29	9
11	таким образом	3	8
12	и не	21	8
13	и его	5	8
14	о том	5	8
15	едва ли	2	7
16	в этой	5	7
17	что в	5	6
18	одного из	2	6
19	что он	3	6
20	к тому	7	6
21	ни в	4	6
22	тому же	4	6
23	такого рода	5	6
24	и по	2	6
25	то же	9	6
26	не в	14	6
27	а в	9	6
28	в которой	2	6
29	с другой	4	5
30	прежде всего	6	5
31	при этом	12	5
32	в его	13	5
33	еще в	2	5
34	один из	2	5
35	на его	2	5
36	так и	4	5
37	другой стороны	2	5
38	потому что	2	5
39	т п	3	5
40	между тем	5	5
41	именно в	4	4
42	в их	5	4
43	несмотря на	2	4
44	как мы	2	4
45	в другом	4	4
46	в качестве	31	4
47	же время	6	4
48	а также	3	4
49	в котором	3	4
50	в нем	3	4
51	что и	3	4
52	точки зрения	6	4
53	так как	2	4
54	но в	8	4
55	место в	3	3
56	однако в	3	3
57	и одновременно	3	3
58	в любом	3	3
59	вопрос о	2	3
60	и как	5	3
61	х годов	2	3
62	перед лицом	6	3
63	одной стороны	3	3
64	и сам	2	3
65	в начале	2	3
66	в частности	19	3
67	и о	2	3
68	он не	3	3
69	см ниже	2	3
70	даже в	3	3
71	все же	4	3
72	отношению к	5	3
73	в целом	5	3
74	отношение к	2	3
75	по отношению	6	3
76	этом отношении	2	3
77	с одной	3	3
78	каждый из	2	3
79	и на	5	3
80	в этом	13	3
81	и с	2	3
82	могут быть	4	3
83	только в	6	3
84	как правило	4	3
85	и все	3	3
86	в сознании	2	3
87	времени и	6	2
88	в противоположность	2	2
89	в рамках	3	2
90	ни было	4	2
91	одному из	2	2
92	за пределы	2	2
93	то ни	3	2
94	столь же	4	2
95	на все	2	2
96	вовсе не	2	2
97	такой же	2	2
98	на этом	2	2
99	но не	10	2
100	того же	4	2
101	в себя	6	2
102	как известно	3	2
103	еще не	3	2
104	было бы	2	2
105	в самом	6	2
106	и самого	2	2
107	для себя	2	2
108	то что	6	2
109	бы то	3	2
110	не к	2	2
111	вместе с	4	2
112	не говоря	2	2
113	со стороны	2	2
114	который в	2	2
115	для этого	2	2
116	в сущности	6	2
117	не может	22	2
118	из которых	4	2
119	в принципе	8	2
120	к нему	3	2
121	в силу	3	2
122	не следует	4	2
123	на себя	2	2
124	в себе	11	2
125	по своей	6	2
126	как будто	3	2
127	же самое	2	2
128	будто бы	3	2
129	отличие от	6	2
130	в области	4	2
