N	2gram	Medvedev_V_1	SlovoVZh
1	не может	17	16
2	точки зрения	3	14
3	может быть	22	14
4	и его	6	13
5	как бы	5	13
6	таким образом	31	12
7	и в	26	12
8	отношению к	7	11
9	по отношению	7	11
10	и не	19	10
11	если бы	3	9
12	прежде всего	13	8
13	художественного произведения	6	7
14	сказать что	5	7
15	в нем	6	6
16	в процессе	16	6
17	в том	15	6
18	художественную форму	2	6
19	только в	7	6
20	в ней	2	6
21	и др	9	5
22	в жизни	2	5
23	то что	6	5
24	никогда не	4	5
25	а не	7	5
26	можно сказать	4	5
27	то же	10	5
28	хотя бы	19	5
29	как и	7	5
30	том что	8	5
31	отнюдь не	3	5
32	что мы	2	5
33	но в	2	5
34	в виду	4	5
35	и к	3	4
36	все же	5	4
37	жизни и	3	4
38	так и	5	4
39	от того	2	4
40	с другой	11	4
41	что не	3	4
42	зависимости от	5	4
43	не в	6	4
44	в этом	26	4
45	его в	3	4
46	в самом	4	4
47	не только	25	4
48	в котором	3	3
49	в них	4	3
50	не менее	2	3
51	когда он	3	3
52	в художественном	10	3
53	в своей	4	3
54	художественное произведение	5	3
55	все это	10	3
56	и по	3	3
57	все эти	6	3
58	по себе	2	3
59	этой точки	2	3
60	но и	10	3
61	произведения и	7	3
62	того что	3	3
63	и наконец	2	3
64	художественном произведении	4	3
65	так же	3	3
66	формы и	2	3
67	о том	10	3
68	художественного творчества	18	3
69	и ее	4	3
70	в себе	6	3
71	для него	8	3
72	в пределах	5	3
73	еще не	2	3
74	и для	2	3
75	в творчестве	3	3
76	но для	2	3
77	между тем	5	3
78	зависит от	2	2
79	с его	3	2
80	что и	3	2
81	что в	10	2
82	вместе с	7	2
83	в зависимости	6	2
84	все они	2	2
85	в форме	3	2
86	в своем	8	2
87	рождается из	2	2
88	другой стороны	8	2
89	это не	7	2
90	мы имеем	3	2
91	бы не	2	2
92	в особенности	2	2
93	тогда когда	2	2
94	с одной	2	2
95	к этому	9	2
96	в словесном	2	2
97	же самое	2	2
98	как на	3	2
99	стороны и	2	2
100	с другими	2	2
101	но не	2	2
102	могут быть	5	2
103	она не	3	2
104	в то	6	2
105	одной стороны	2	2
106	на это	2	2
107	этого положения	2	2
108	подчеркнуть что	2	2
109	идеологического творчества	2	2
110	в чем	2	2
111	как это	12	2
112	к его	2	2
113	он не	2	2
114	в основном	5	2
115	в его	14	2
116	и потому	2	2
117	относится к	2	2
118	между ними	3	2
