N	2gram	Potebnia_M_3	Vladivir
1	и в	30	30
2	то что	18	20
3	в этом	10	20
4	у него	2	19
5	в том	32	18
6	и не	15	18
7	и с	2	14
8	что он	6	13
9	же с	6	13
10	том что	18	12
11	что в	17	12
12	там же	6	12
13	не только	21	12
14	в его	4	11
15	а в	12	11
16	как мы	7	11
17	сказать что	5	11
18	и вообще	3	10
19	и даже	2	10
20	не было	4	10
21	не в	15	9
22	для него	9	9
23	было бы	9	9
24	все же	2	9
25	потому что	46	9
26	не может	6	9
27	в то	10	9
28	связи с	2	8
29	в своем	5	8
30	вместе с	12	8
31	но и	19	8
32	что же	2	8
33	не менее	5	7
34	точки зрения	2	7
35	и все	3	7
36	ни в	2	7
37	может быть	28	7
38	для нас	20	7
39	а не	15	7
40	то есть	34	7
41	к этому	3	6
42	прежде всего	3	6
43	об этом	2	6
44	тем не	3	6
45	то время	4	6
46	только в	21	6
47	его жизни	2	6
48	в себе	16	6
49	жизни и	2	6
50	и его	4	6
51	и то	8	5
52	по себе	16	5
53	как и	10	5
54	так что	7	5
55	при этом	3	5
56	но что	2	5
57	в своей	2	5
58	как бы	3	5
59	в котором	4	5
60	для себя	3	5
61	так и	11	5
62	все это	4	5
63	с этим	6	5
64	и что	10	5
65	того что	18	5
66	так как	13	5
67	с ним	6	5
68	именно в	3	4
69	с этой	2	4
70	эти последние	2	4
71	вовсе не	7	4
72	его в	3	4
73	можно сказать	3	4
74	в этой	2	4
75	в целом	3	4
76	и если	2	4
77	что это	4	4
78	на его	2	4
79	несмотря на	2	4
80	и мы	2	4
81	и о	2	4
82	в ней	8	4
83	он не	4	4
84	в нем	9	4
85	то это	6	4
86	не есть	17	4
87	крайней мере	5	4
88	время в	3	4
89	со стороны	3	4
90	то же	23	4
91	и наконец	2	4
92	так же	3	4
93	той же	2	4
94	по поводу	4	4
95	и на	3	4
96	но это	6	4
97	с в	2	4
98	в начале	3	4
99	мы должны	4	4
100	о том	2	4
101	в которой	3	4
102	по крайней	5	4
103	отношение к	2	4
104	это было	3	4
105	для меня	4	4
106	уже в	5	3
107	в них	5	3
108	из этих	9	3
109	точно так	12	3
110	это в	2	3
111	же время	5	3
112	в свою	3	3
113	что и	13	3
114	и как	5	3
115	сравнительно с	5	3
116	тем более	4	3
117	что я	5	3
118	более или	3	3
119	но не	7	3
120	уже на	2	3
121	том же	2	3
122	никак не	3	3
123	так или	2	3
124	нам кажется	2	3
125	или менее	3	3
126	как в	10	3
127	таким образом	14	3
128	те же	6	3
129	уже не	6	3
130	должно быть	5	3
131	в таком	3	3
132	не столько	2	3
133	в виде	2	3
134	к ней	5	3
135	не говоря	3	3
136	говоря о	4	3
137	и это	4	3
138	когда мы	2	3
139	в области	2	3
140	не то	3	3
141	к нему	3	2
142	этого не	3	2
143	с тем	7	2
144	и есть	3	2
145	себе представить	3	2
146	со своей	2	2
147	и от	4	2
148	если не	4	2
149	тогда когда	9	2
150	на все	2	2
151	мы видели	4	2
152	человек не	2	2
153	этого последнего	2	2
154	к тому	7	2
155	ему в	2	2
156	на котором	2	2
157	же в	2	2
158	есть для	5	2
159	друг друга	3	2
160	только тогда	9	2
161	а к	3	2
162	свою очередь	3	2
163	по своему	2	2
164	единство и	2	2
165	но тем	2	2
166	и может	3	2
167	само по	3	2
168	она не	2	2
169	мы уже	2	2
170	не могла	2	2
171	в самом	8	2
172	том чтобы	2	2
173	же и	3	2
174	на то	2	2
175	и потому	4	2
176	для того	4	2
177	даже в	2	2
178	не имеет	6	2
179	и до	2	2
180	в их	2	2
181	есть нечто	4	2
182	собственно говоря	2	2
183	того как	4	2
184	и притом	2	2
185	от нас	3	2
186	но все	2	2
187	того чтобы	3	2
188	что не	8	2
189	и цельность	2	2
190	в чем	3	2
191	и по	4	2
192	что для	4	2
193	мысли и	2	2
194	их в	2	2
195	и при	4	2
196	сам по	5	2
197	тут же	2	2
198	с и	3	2
199	тогда и	3	2
200	я и	3	2
201	мы не	9	2
202	в новом	2	2
