N	2gram	Nazirov_Vr_1	FransuaR
1	и в	8	29
2	таким образом	2	20
3	и не	5	16
4	и все	7	13
5	в этой	2	13
6	как и	6	12
7	и т.п	2	12
8	но в	6	12
9	в этом	8	11
10	то же	5	10
11	во время	2	10
12	в романе	6	10
13	в то	5	10
14	не только	9	10
15	и образы	2	9
16	в конце	3	9
17	но и	7	9
18	и с	6	9
19	его в	3	9
20	же время	5	8
21	в его	3	8
22	и его	3	8
23	как бы	4	8
24	в них	2	7
25	так же	4	7
26	в том	3	7
27	из них	2	6
28	но он	3	6
29	у него	5	5
30	это не	4	5
31	и о	3	5
32	далеко не	3	5
33	в нем	6	5
34	в своей	2	5
35	рядом с	2	5
36	с его	3	4
37	что он	4	4
38	но это	2	4
39	еще не	2	4
40	то что	7	4
41	все это	4	4
42	тем что	3	4
43	точки зрения	2	4
44	в своем	3	3
45	что у	3	3
46	все же	6	3
47	но как	2	3
48	том что	3	3
49	и как	3	3
50	он не	3	3
51	при этом	4	3
52	в году	18	3
53	там же	2	3
54	и даже	6	3
55	в ней	4	3
56	в себе	2	3
57	в чем	3	3
58	в эту	2	3
59	место в	2	2
60	уже в	4	2
61	связи с	3	2
62	время и	2	2
63	к этому	3	2
64	это в	2	2
65	на первый	2	2
66	он был	3	2
67	что я	2	2
68	не может	2	2
69	о чем	2	2
70	может быть	4	2
71	том же	2	2
72	никогда не	2	2
73	уже не	2	2
74	а также	2	2
75	в виду	4	2
76	в котором	6	2
77	раз в	3	2
78	после этого	2	2
79	его и	2	2
80	как раз	2	2
81	в той	2	2
82	и у	3	2
83	с точки	2	2
84	не мог	2	2
85	в своих	4	2
86	и то	2	2
87	их в	2	2
88	о том	4	2
89	и это	2	2
90	и детей	4	2
91	с ним	4	2
92	же не	2	2
