N	2gram	Tiupa_Hudo_1	UchenyiS
1	и в	14	14
2	а не	12	10
3	не только	12	10
4	и не	2	8
5	прежде всего	11	8
6	то что	8	7
7	в этом	11	7
8	не может	7	7
9	может быть	5	6
10	в художественном	2	5
11	все это	2	5
12	то же	9	5
13	но и	5	4
14	в этой	8	4
15	конечном счете	2	4
16	в их	2	4
17	в конечном	2	4
18	но в	5	3
19	как и	9	3
20	все же	3	3
21	не следует	2	3
22	в своей	10	3
23	в частности	5	3
24	по нашему	2	3
25	же время	8	3
26	для него	10	3
27	это не	7	3
28	в то	8	3
29	было бы	6	3
30	не о	2	3
31	том что	16	2
32	но не	3	2
33	в том	12	2
34	мы не	2	2
35	с его	5	2
36	не в	7	2
37	и для	3	2
38	представляется нам	2	2
39	в противовес	2	2
40	не столько	2	2
41	если бы	3	2
42	не случайно	7	2
43	только в	5	2
44	и с	4	2
45	тем что	3	2
46	сих пор	2	2
47	что он	9	2
48	в себе	11	2
49	в системе	2	2
50	как раз	4	2
51	до сих	2	2
52	в конце	4	2
53	этом отношении	3	2
54	в самом	4	2
55	по себе	2	2
56	превращается в	3	2
57	а его	2	2
58	ничего не	8	2
59	самом деле	5	2
60	что она	4	2
61	в его	8	2
62	между тем	8	2
