N	2gram	Berdyaev_M_1	Russkaja
1	не может	28	22
2	и не	11	19
3	в том	6	17
4	в этом	20	17
5	и в	28	14
6	то что	5	13
7	точки зрения	4	11
8	но и	25	10
9	в то	2	10
10	том что	3	9
11	не только	29	9
12	в себе	7	9
13	может быть	30	9
14	прежде всего	10	8
15	того чтобы	2	8
16	к богу	3	7
17	к тому	3	7
18	самого себя	2	7
19	о том	2	7
20	и с	3	7
21	если бы	2	6
22	что он	10	6
23	и к	2	6
24	с тем	9	6
25	для него	11	6
26	для того	2	6
27	все это	6	6
28	в своем	10	6
29	и для	2	6
30	в россии	2	6
31	себя и	3	5
32	жизни в	2	5
33	хотя бы	3	5
34	он должен	3	5
35	вопрос о	2	5
36	и на	6	5
37	до сих	2	5
38	было бы	10	5
39	конечно не	3	5
40	в своей	15	5
41	он не	24	5
42	никогда не	14	5
43	в нем	13	5
44	сих пор	2	5
45	а в	4	5
46	потому что	16	5
47	во имя	10	5
48	только в	6	5
49	но не	8	4
50	не могут	5	4
51	что в	10	4
52	в мире	10	4
53	как и	5	4
54	все что	2	4
55	как бы	2	4
56	себе и	2	4
57	все же	2	4
58	себя в	3	4
59	жизни и	2	4
60	вместе с	6	4
61	в их	4	4
62	приводит к	2	4
63	тому чтобы	2	4
64	на земле	2	4
65	не в	16	4
66	в этой	6	4
67	в его	9	4
68	его в	3	4
69	так как	3	4
70	к этой	2	4
71	он сам	6	3
72	может не	2	3
73	для них	3	3
74	на том	3	3
75	в конце	7	3
76	и как	2	3
77	лишь в	6	3
78	должно быть	3	3
79	в самом	11	3
80	но если	3	3
81	и потому	10	3
82	и этот	4	3
83	что и	4	3
84	не есть	9	3
85	вряд ли	3	3
86	не было	18	3
87	того что	7	3
88	ко всем	3	3
89	и по	4	3
90	тем что	4	3
91	и во	2	3
92	конце концов	2	3
93	она может	2	3
94	любовь к	2	2
95	место в	2	2
96	должна быть	6	2
97	и есть	14	2
98	у него	17	2
99	и от	2	2
100	с этим	3	2
101	и вместе	4	2
102	уже не	4	2
103	это есть	3	2
104	от него	4	2
105	есть и	3	2
106	отличается от	2	2
107	она не	4	2
108	в ней	15	2
109	к чему	2	2
110	в котором	8	2
111	отношении к	2	2
112	не к	4	2
113	для нас	3	2
114	– не	5	2
115	по отношению	2	2
116	отношения к	4	2
117	к отрицанию	9	2
118	все эти	2	2
119	и вот	3	2
120	и что	2	2
121	а не	25	2
122	не так	3	2
123	к нему	7	2
124	и те	2	2
125	людей и	2	2
126	или от	2	2
127	даже и	2	2
128	с самим	2	2
129	в начале	2	2
130	и человек	2	2
131	как будто	2	2
132	в этих	4	2
133	с ним	2	2
134	но в	7	2
135	любви к	7	2
