N	2gram	Propp_Isto_5	Tragedij
1	и в	25	18
2	в этом	10	9
3	не только	13	8
4	и не	11	7
5	и на	8	7
6	и с	3	7
7	может быть	17	7
8	как бы	2	7
9	в образе	5	6
10	что он	22	6
11	и его	9	6
12	у него	2	6
13	все же	10	5
14	что это	5	5
15	это не	6	5
16	не может	6	5
17	то же	4	5
18	в дальнейшем	4	5
19	как и	7	5
20	в то	3	5
21	несмотря на	2	5
22	но и	13	4
23	то что	7	4
24	в целом	3	4
25	что в	8	4
26	все это	4	4
27	прежде всего	6	4
28	и все	3	4
29	в нем	7	4
30	так же	5	4
31	том что	8	4
32	но это	7	4
33	в этой	3	4
34	и что	8	4
35	еще не	8	4
36	об этом	2	4
37	уже в	2	3
38	один из	2	3
39	о чем	2	3
40	никто не	3	3
41	что за	2	3
42	как в	6	3
43	все эти	8	3
44	и он	6	3
45	и как	3	3
46	к нему	3	3
47	в основном	4	3
48	в его	12	3
49	и сам	2	3
50	с ним	4	3
51	еще в	2	2
52	под влиянием	2	2
53	перед нами	2	2
54	что и	6	2
55	в частности	7	2
56	состоит из	3	2
57	данном случае	2	2
58	ее за	2	2
59	что все	4	2
60	а как	2	2
61	вопрос о	2	2
62	уже не	11	2
63	и здесь	7	2
64	в ее	4	2
65	в том	6	2
66	друг друга	3	2
67	говорит о	2	2
68	но все	5	2
69	так что	2	2
70	не в	6	2
71	что этот	2	2
72	в данном	3	2
73	одна из	2	2
74	потому что	7	2
75	с тем	8	2
76	тем что	10	2
77	в виде	9	2
78	бросается в	2	2
79	как у	2	2
80	в это	2	2
81	о том	7	2
82	его в	9	2
83	и это	4	2
84	во сне	2	2
85	это уже	2	2
86	ничего не	2	2
87	он не	4	2
88	никогда не	3	2
