N	2gram	Losev_Prob_5	Mirosoze
1	может быть	7	30
2	не только	18	29
3	и в	30	28
4	не может	5	28
5	человеческого духа	2	26
6	но и	13	25
7	а не	5	25
8	он не	3	24
9	в этом	17	20
10	у него	11	17
11	не в	7	16
12	потому что	13	16
13	в ней	3	15
14	в своей	22	15
15	никогда не	7	14
16	человека и	4	14
17	он был	2	14
18	в нем	6	13
19	и он	4	12
20	в самом	5	11
21	и не	12	11
22	что в	5	10
23	в своем	11	10
24	свободы и	4	10
25	прежде всего	6	10
26	и все	9	10
27	что он	7	10
28	было бы	4	10
29	но он	5	9
30	с тем	5	9
31	в его	12	9
32	и его	6	9
33	но не	7	8
34	в котором	2	8
35	зла и	2	8
36	в самой	3	7
37	того что	3	7
38	в конце	8	7
39	но в	9	7
40	любви к	2	7
41	к нему	3	7
42	в себе	4	7
43	он сам	3	6
44	в том	12	6
45	в этой	10	6
46	и на	6	6
47	человек и	2	6
48	все в	3	6
49	вместе с	7	6
50	только в	9	6
51	в которой	5	6
52	не могут	2	5
53	это не	2	5
54	и человека	2	5
55	мира и	2	5
56	если он	2	5
57	у нас	7	5
58	как и	7	5
59	то что	18	5
60	уже в	2	4
61	с этой	2	4
62	небо и	2	4
63	человека но	2	4
64	смысле слова	3	4
65	не к	2	4
66	отношение к	2	4
67	в середине	2	4
68	а в	6	4
69	точки зрения	10	4
70	в них	2	4
71	один из	2	4
72	что и	6	4
73	или к	2	4
74	уже не	6	4
75	в человека	3	4
76	тем что	2	4
77	нет у	2	3
78	о себе	2	3
79	и страдания	3	3
80	к тому	2	3
81	для нас	10	3
82	не мог	4	3
83	преступления и	2	3
84	и их	5	3
85	только и	3	3
86	не так	4	3
87	его не	2	3
88	его в	6	3
89	так как	6	3
90	в мир	2	3
91	то есть	21	3
92	и с	5	3
93	для них	3	3
94	человека а	2	3
95	в ее	3	3
96	том что	17	3
97	учение о	3	3
98	ничего не	2	3
99	конечно не	2	3
100	когда он	2	3
101	духа в	2	3
102	будто бы	5	3
103	хотя бы	2	3
104	прежде чем	2	2
105	бога в	2	2
106	него не	2	2
107	и нет	2	2
108	в свою	2	2
109	для того	3	2
110	в виду	3	2
111	человека из	4	2
112	человека то	2	2
113	жизни и	2	2
114	по отношению	2	2
115	все эти	2	2
116	и что	6	2
117	есть только	3	2
118	время как	3	2
119	людей и	13	2
120	также и	12	2
121	сказать что	9	2
122	даже и	4	2
123	он и	5	2
124	в начале	3	2
125	по своей	2	2
126	как бы	6	2
127	о том	12	2
128	с ним	3	2
129	страдания и	3	2
130	жизни в	4	2
131	к этому	2	2
132	отношению к	2	2
133	в то	4	2
134	все что	2	2
135	то время	3	2
136	как будто	3	2
137	до сих	2	2
138	и к	4	2
139	еще в	5	2
140	все же	9	2
141	сих пор	2	2
142	как в	2	2
143	и сама	2	2
144	человеческой жизни	2	2
145	оказывается что	4	2
146	разного рода	4	2
147	бы не	3	2
148	на земле	9	2
149	того чтобы	2	2
150	и у	5	2
151	и как	6	2
152	и для	6	2
153	конце концов	6	2
154	от этого	3	2
155	он в	3	2
156	не все	2	2
