N	2gram	Nazirov_Vr_1	Myshleni
1	в том	3	28
2	и в	8	28
3	то что	7	28
4	в этом	8	27
5	не может	2	19
6	том что	3	19
7	таким образом	2	18
8	что он	4	18
9	что в	7	17
10	не только	9	16
11	так же	4	15
12	может быть	4	13
13	точки зрения	2	13
14	и не	5	11
15	как бы	4	11
16	но и	7	10
17	с точки	2	10
18	никогда не	2	8
19	еще не	2	8
20	тем что	3	8
21	в нем	6	7
22	в своем	3	7
23	отношение к	2	7
24	он не	3	7
25	вместе с	2	7
26	то же	5	7
27	же как	2	6
28	и как	3	6
29	и что	8	6
30	для него	2	6
31	в то	5	6
32	его в	3	6
33	как и	6	6
34	как раз	2	6
35	в чем	3	6
36	это не	4	5
37	и все	7	5
38	но в	6	5
39	том же	2	5
40	в этой	2	5
41	я не	3	4
42	на то	3	4
43	мы знаем	2	4
44	целый ряд	4	4
45	на основе	2	4
46	в той	2	4
47	и то	2	4
48	в себе	2	4
49	в нашей	2	3
50	при этом	4	3
51	в своих	4	3
52	но как	2	3
53	с его	3	3
54	в них	2	3
55	раз в	3	3
56	связи с	3	3
57	в его	3	3
58	и его	3	3
59	отношения к	2	3
60	не менее	2	2
61	он сам	2	2
62	в конце	3	2
63	это в	2	2
64	для нас	4	2
65	но это	2	2
66	несмотря на	4	2
67	одним из	3	2
68	в котором	6	2
69	из них	2	2
70	все это	4	2
71	в связи	3	2
72	но он	3	2
73	что у	3	2
74	с ним	4	2
75	у него	5	2
76	в своей	2	2
77	все же	6	2
78	а в	2	2
79	что я	2	2
