N	2gram	Vinokur_Ku_3	SlovoVZh
1	не может	6	16
2	точки зрения	23	14
3	может быть	14	14
4	как бы	5	13
5	таким образом	9	12
6	и в	23	12
7	в нашем	7	11
8	отношению к	2	11
9	по отношению	3	11
10	и не	10	10
11	если бы	8	9
12	так как	9	9
13	прежде всего	9	8
14	для нас	4	7
15	сказать что	7	7
16	в процессе	3	6
17	при этом	6	6
18	с помощью	6	6
19	в том	22	6
20	только в	6	6
21	слова и	7	6
22	в ней	3	6
23	то что	4	5
24	должна быть	3	5
25	а не	11	5
26	можно сказать	2	5
27	то же	6	5
28	хотя бы	9	5
29	как и	5	5
30	том что	11	5
31	отнюдь не	3	5
32	как в	4	5
33	что мы	2	5
34	но в	2	5
35	в виду	8	5
36	и к	3	4
37	все же	5	4
38	отношение к	3	4
39	так и	6	4
40	от того	5	4
41	с другой	7	4
42	на самом	3	4
43	уже не	8	4
44	что не	4	4
45	зависимости от	8	4
46	не в	5	4
47	в этом	16	4
48	его в	2	4
49	в самом	13	4
50	за пределы	2	4
51	не только	17	4
52	в котором	2	3
53	точка зрения	4	3
54	и более	3	3
55	не менее	12	3
56	когда он	2	3
57	в своей	4	3
58	в некоторых	2	3
59	сих пор	8	3
60	все это	2	3
61	как к	2	3
62	все эти	7	3
63	ясно что	4	3
64	по себе	6	3
65	слово в	3	3
66	но и	3	3
67	и пр	3	3
68	того что	11	3
69	точек зрения	2	3
70	тем не	9	3
71	ни в	3	3
72	так же	2	3
73	самом деле	14	3
74	мы не	3	3
75	двух направлениях	2	3
76	формы и	3	3
77	и с	3	3
78	о том	6	3
79	в каком	3	3
80	до сих	8	3
81	в пределах	2	3
82	еще не	9	3
83	в поэзии	5	3
84	конечно не	2	3
85	здесь не	2	3
86	но для	3	3
87	между тем	4	3
88	имеет в	2	3
89	уже в	3	2
90	с этой	3	2
91	но мы	2	2
92	что и	6	2
93	независимо от	5	2
94	но все	2	2
95	что в	13	2
96	данном случае	4	2
97	вместе с	2	2
98	в зависимости	7	2
99	в этих	2	2
100	на него	3	2
101	все они	2	2
102	в своем	4	2
103	в отношении	3	2
104	точку зрения	2	2
105	в какой	3	2
106	другой стороны	3	2
107	что слово	3	2
108	это не	3	2
109	смысл и	2	2
110	мы имеем	2	2
111	бы не	3	2
112	в особенности	2	2
113	тому же	3	2
114	тогда когда	4	2
115	речи в	7	2
116	с одной	4	2
117	и содержания	2	2
118	те же	7	2
119	на материале	2	2
120	слово это	2	2
121	и что	7	2
122	не есть	3	2
123	не так	3	2
124	с точки	16	2
125	и здесь	2	2
126	как же	3	2
127	как на	8	2
128	с другими	2	2
129	но это	5	2
130	такой же	2	2
131	в данном	7	2
132	в корне	2	2
133	но не	3	2
134	могут быть	6	2
135	еще раз	2	2
136	кроме того	2	2
137	она не	3	2
138	в то	3	2
139	одной стороны	4	2
140	ни на	2	2
141	если же	2	2
142	подчеркнуть что	2	2
143	там где	3	2
144	в чем	5	2
145	как это	7	2
146	ничего не	6	2
147	к его	2	2
148	он не	3	2
149	в условиях	2	2
150	в его	11	2
151	относится к	2	2
