N	2gram	Bakhtin_Fr_3	RusskieA
1	и в	40	29
2	что в	12	22
3	том что	4	22
4	в том	8	22
5	как бы	3	18
6	в других	3	15
7	и другие	2	14
8	может быть	9	13
9	так как	4	13
10	во время	8	12
11	как и	11	11
12	одна из	3	11
13	в этом	15	11
14	все это	4	10
15	в этот	2	10
16	и с	8	10
17	не только	13	10
18	о том	4	9
19	а в	3	9
20	других местах	3	8
21	но и	11	8
22	с в	2	8
23	мы видели	3	7
24	данном случае	2	7
25	как в	3	7
26	мы не	2	6
27	еще не	3	6
28	для того	3	6
29	вместе с	3	6
30	таким образом	10	6
31	при этом	3	6
32	того чтобы	4	6
33	и на	8	6
34	в данном	4	6
35	представление о	2	5
36	потому что	2	5
37	это не	2	5
38	к этому	6	5
39	то что	5	5
40	но не	2	5
41	для этого	3	5
42	к жизни	2	5
43	не может	3	5
44	или же	2	5
45	но в	8	5
46	именно в	2	4
47	о чем	2	4
48	в них	9	4
49	и все	9	4
50	из них	4	4
51	к нему	2	4
52	том же	2	4
53	а также	4	4
54	то же	7	4
55	у нас	4	4
56	на них	2	4
57	а не	5	4
58	их в	3	4
59	далеко не	2	4
60	на этом	2	3
61	тем что	3	3
62	в этих	6	3
63	и других	6	3
64	и от	3	3
65	в году	5	3
66	для этой	3	3
67	в ее	3	3
68	связаны с	5	3
69	до конца	6	3
70	было бы	4	3
71	и о	4	3
72	в котором	2	3
73	на землю	2	3
74	во всех	6	3
75	связь с	6	3
76	в свете	3	3
77	в отличие	3	3
78	что для	2	3
79	все эти	8	3
80	церковь и	2	3
81	как мы	10	3
82	между тем	3	3
83	но он	2	3
84	в этой	3	3
85	в таких	3	3
86	отличие от	3	3
87	в эту	4	3
88	не менее	2	2
89	начиная с	3	2
90	связь между	3	2
91	связи с	6	2
92	своей книге	2	2
93	об этом	3	2
94	переход от	2	2
95	связанные с	3	2
96	с другой	2	2
97	из этих	2	2
98	это в	2	2
99	прежде всего	16	2
100	не был	2	2
101	что и	3	2
102	это и	2	2
103	кроме того	3	2
104	и как	3	2
105	одним из	2	2
106	здесь в	4	2
107	все то	2	2
108	из этого	2	2
109	в виду	7	2
110	еще в	3	2
111	один из	4	2
112	все же	2	2
113	в своей	6	2
114	не к	2	2
115	дело не	3	2
116	в форме	2	2
117	в их	4	2
118	влияние на	2	2
119	не было	5	2
120	в течение	2	2
121	на самом	3	2
122	образом в	2	2
123	там где	3	2
124	здесь мы	2	2
125	и для	5	2
126	можно было	3	2
127	так в	4	2
128	в своих	5	2
129	одно из	3	2
130	с этим	2	2
131	и ее	2	2
132	и еще	2	2
133	во всем	3	2
134	за этим	4	2
135	в то	6	2
136	видно что	4	2
137	в которой	2	2
