N	2gram	Vinokur_St_3	Analitik
1	в качестве	4	31
2	может быть	19	29
3	в том	20	27
4	не может	7	22
5	и не	10	21
6	и в	25	18
7	а не	5	17
8	но и	9	17
9	не только	12	15
10	не в	6	14
11	как и	4	13
12	в его	12	13
13	в этом	24	13
14	том что	15	12
15	состоит в	4	11
16	то есть	2	11
17	но не	2	10
18	то же	5	9
19	а в	6	9
20	в то	7	9
21	но в	5	8
22	к тому	2	7
23	том чтобы	2	7
24	этого слова	2	7
25	произведения как	2	7
26	времени и	2	6
27	это не	7	6
28	прежде всего	10	6
29	или иной	2	6
30	же время	3	6
31	в самом	2	6
32	в сущности	2	6
33	должен быть	2	6
34	то что	12	6
35	в своей	4	6
36	точки зрения	7	6
37	только в	6	6
38	мы имеем	5	6
39	я и	3	6
40	в этой	14	5
41	что в	19	5
42	такого рода	5	5
43	как бы	6	5
44	в целом	4	5
45	в их	3	5
46	лишь в	4	5
47	и его	3	5
48	между тем	6	5
49	и на	6	5
50	о том	8	5
51	на вопрос	3	4
52	того что	5	4
53	и более	3	4
54	могут быть	2	4
55	себя и	2	4
56	с другой	5	4
57	ни в	5	4
58	того же	2	4
59	для того	2	4
60	в области	6	4
61	все же	4	4
62	вместе с	2	4
63	так и	5	4
64	уже не	3	4
65	из которых	4	4
66	с точки	4	4
67	в другом	3	4
68	место в	6	3
69	в рамках	2	3
70	с его	3	3
71	и к	4	3
72	что он	19	3
73	и т	8	3
74	еще не	2	3
75	одной стороны	3	3
76	что не	2	3
77	он не	5	3
78	в котором	5	3
79	если в	2	3
80	дело не	2	3
81	таким образом	10	3
82	а с	2	3
83	с одной	2	3
84	к нему	4	3
85	т п	6	3
86	что мы	3	3
87	быть не	2	3
88	а также	4	3
89	если бы	4	3
90	своего рода	3	3
91	никогда не	2	2
92	все эти	3	2
93	для этого	2	2
94	в какой	3	2
95	не столько	2	2
96	не является	3	2
97	из этих	6	2
98	тогда когда	2	2
99	не просто	2	2
100	говорит и	2	2
101	была бы	4	2
102	представляет собою	2	2
103	вовсе не	2	2
104	его к	2	2
105	что именно	2	2
106	а как	4	2
107	можно сказать	4	2
108	пушкина как	13	2
109	в начале	4	2
110	то в	4	2
111	х годов	2	2
112	такой же	2	2
113	отношение к	4	2
114	для него	3	2
115	было бы	7	2
116	несмотря на	3	2
117	на его	4	2
118	при всей	2	2
119	одного из	2	2
120	нет и	2	2
121	один из	2	2
122	он может	2	2
123	со стороны	3	2
124	и тогда	2	2
125	другой стороны	5	2
126	отличается от	4	2
127	на этом	3	2
128	той же	2	2
129	этом отношении	4	2
130	самом деле	2	2
131	и по	2	2
132	как мы	2	2
133	на основе	2	2
134	то он	2	2
135	тем более	3	2
136	что из	2	2
137	жизни но	2	2
138	при помощи	2	2
139	которые в	2	2
140	так как	3	2
141	потому что	5	2
142	в которой	4	2
143	и с	4	2
144	в новом	2	2
