N	2gram	Tiupa_Anal_2	FransuaR
1	и в	16	56
2	то есть	9	24
3	в его	2	18
4	таким образом	2	17
5	в этом	18	14
6	в том	12	13
7	так и	15	13
8	и его	4	12
9	он был	2	12
10	в то	2	12
11	в этих	2	11
12	как бы	10	11
13	и т.п	8	11
14	то же	4	11
15	же время	2	10
16	еще не	2	10
17	и до	2	10
18	только в	4	9
19	в самом	6	9
20	но и	12	9
21	и не	12	9
22	том что	12	8
23	в сущности	4	8
24	не только	16	8
25	во всех	4	8
26	и их	2	8
27	все это	4	8
28	и даже	9	8
29	в частности	16	7
30	у него	4	7
31	как мы	3	7
32	и на	6	7
33	прежде всего	3	6
34	вовсе не	2	6
35	в этой	9	6
36	языка и	2	6
37	той же	2	6
38	на его	3	6
39	точки зрения	4	6
40	и все	3	6
41	но в	6	6
42	но не	4	5
43	никогда не	3	5
44	в пределах	9	5
45	ни с	2	5
46	с ее	2	5
47	как и	14	5
48	он не	2	5
49	один из	2	5
50	своего рода	12	5
51	что в	2	5
52	роль в	2	5
53	в результате	3	5
54	что все	2	4
55	не был	3	4
56	в себе	7	4
57	в качестве	11	4
58	и к	5	4
59	за пределы	4	4
60	даже в	2	4
61	с одной	5	4
62	при этом	10	4
63	о том	7	4
64	в эпизоде	10	4
65	казалось бы	3	3
66	в своем	4	3
67	так что	3	3
68	здесь в	2	3
69	в первой	3	3
70	может быть	6	3
71	не мог	3	3
72	одной из	3	3
73	а также	7	3
74	что и	3	3
75	то что	7	3
76	в их	3	3
77	уже не	4	3
78	времени в	4	3
79	не в	4	3
80	сказать что	2	3
81	между тем	2	3
82	речи и	2	3
83	к его	2	3
84	и т.д	3	3
85	в таких	2	3
86	бы в	3	3
87	только не	4	2
88	если бы	3	2
89	в нашем	3	2
90	о себе	2	2
91	на котором	2	2
92	в речи	3	2
93	с другой	6	2
94	и во	2	2
95	в одном	2	2
96	к этому	2	2
97	можно сказать	4	2
98	так например	2	2
99	в речевом	2	2
100	говорит о	5	2
101	в борьбе	2	2
102	для него	4	2
103	с их	2	2
104	одной стороны	4	2
105	было бы	3	2
106	и сам	3	2
107	в действительности	3	2
108	из них	3	2
109	картины мира	2	2
110	несмотря на	3	2
111	ни о	3	2
112	а в	3	2
113	в центре	3	2
114	по преимуществу	4	2
115	хотя и	4	2
116	что на	3	2
117	в котором	2	2
118	на две	3	2
119	в своей	2	2
120	в мире	6	2
121	его как	2	2
122	вместе с	2	2
123	дело не	2	2
124	данном случае	5	2
125	что она	2	2
126	романа в	3	2
127	только на	3	2
128	другой стороны	2	2
129	так же	2	2
130	как раз	4	2
131	не может	4	2
132	в значительной	2	2
133	а не	10	2
134	и для	2	2
135	с точки	2	2
136	его в	2	2
137	персонажей в	2	2
138	в данном	8	2
139	и то	3	2
140	он и	2	2
141	той или	3	2
142	с ним	2	2
143	грань между	2	2
144	в эту	3	2
