N	3gram	Tiupa_Disk_2	Analitik
1	в сочетании с	2	7
2	о том что	3	6
3	в том что	6	6
4	в данном случае	6	5
5	с одной стороны	4	4
6	в этом случае	2	4
7	состоит в том	2	4
8	по отношению к	4	4
9	той или иной	3	3
10	как и в	5	3
11	в этом отношении	4	3
12	содержит в себе	2	3
13	подобно тому как	2	3
14	то же время	5	2
15	и то что	2	2
16	в отличие от	12	2
17	присутствия в мире	2	2
18	с точки зрения	2	2
19	по природе своей	2	2
20	в то же	4	2
21	в соответствии с	2	2
22	в обоих случаях	2	2
23	текста а не	2	2
