N	2gram	Nazirov_Tr_1	Formalny
1	и в	18	24
2	в его	3	23
3	прежде всего	4	22
4	и не	7	20
5	так и	5	18
6	не может	5	16
7	в этом	9	15
8	в нем	4	14
9	может быть	7	14
10	в своем	3	11
11	как и	5	11
12	должно быть	3	11
13	и ее	2	10
14	то же	5	10
15	и его	6	10
16	все это	4	9
17	в то	5	9
18	в ее	2	8
19	же время	6	8
20	то что	4	8
21	как в	3	8
22	и на	7	8
23	не в	2	8
24	и с	7	8
25	до конца	2	7
26	не только	8	7
27	с ее	3	7
28	но и	4	7
29	отнюдь не	3	6
30	и все	4	6
31	и здесь	2	6
32	в том	2	6
33	в этой	4	6
34	еще не	4	6
35	как бы	7	6
36	в целом	4	6
37	все эти	3	6
38	как это	3	6
39	при этом	3	5
40	в самом	2	5
41	и до	2	5
42	но в	6	5
43	с его	2	4
44	в частности	2	4
45	никогда не	2	4
46	в мире	3	4
47	так же	4	4
48	что в	4	4
49	друг друга	2	4
50	она должна	2	3
51	что он	6	3
52	к тому	2	3
53	для него	3	3
54	и как	3	3
55	но это	4	3
56	он не	2	3
57	в основном	3	3
58	один из	3	3
59	все же	5	3
60	отношение к	2	3
61	тем самым	3	3
62	и даже	4	3
63	его в	2	3
64	жизнь и	3	3
65	ничем не	2	3
66	в себе	4	3
67	под влиянием	2	2
68	а как	2	2
69	в душе	2	2
70	с тем	2	2
71	это не	5	2
72	в одном	2	2
73	вопрос о	2	2
74	в году	9	2
75	но эта	2	2
76	ни в	2	2
77	уже не	2	2
78	но все	2	2
79	одна из	2	2
80	этот образ	4	2
81	еще в	2	2
82	что и	2	2
83	впечатление что	2	2
84	ее к	2	2
85	и что	4	2
86	раз и	2	2
87	не так	2	2
88	в самую	2	2
89	ничего не	2	2
90	и это	2	2
91	с ним	3	2
